,index,Date,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,Total_Confirmed,Current_Infected,temperature,wind_speed,relative_humidity,Day_of_week,PCR_Postive_Count_lag_-1,PCR_Postive_Count_lag_-2,PCR_Postive_Count_lag_-3,PCR_Postive_Count_lag_-4,PCR_Postive_Count_lag_-5,PCR_Postive_Count_lag_-6,PCR_Postive_Count_lag_-7,Current_Infected_lag_-1,Current_Infected_lag_-2,Current_Infected_lag_-3,Current_Infected_lag_-4,Current_Infected_lag_-5,Current_Infected_lag_-6,Current_Infected_lag_-7
0,112,2021-11-22,1666,30,5,191372,18876,4.044666666666667,16.137733333333333,83.30533333333332,Monday,1812.0,2151.0,2064.0,2212.0,595.0,925.0,2035.0,20105.0,21603.0,22958.0,24344.0,24043.0,24104.0,25312.0
1,113,2021-11-23,1812,38,9,193184,20105,1.7752000000000001,10.454133333333335,84.19066666666666,Tuesday,2151.0,2064.0,2212.0,595.0,925.0,2035.0,1986.0,21603.0,22958.0,24344.0,24043.0,24104.0,25312.0,26524.0
2,114,2021-11-24,2151,35,12,195335,21603,2.8272,10.162666666666667,84.764,Wednesday,2064.0,2212.0,595.0,925.0,2035.0,1986.0,2228.0,22958.0,24344.0,24043.0,24104.0,25312.0,26524.0,28165.0
3,115,2021-11-25,2064,73,2,197399,22958,1.5985333333333334,5.6033333333333335,82.73466666666667,Thursday,2212.0,595.0,925.0,2035.0,1986.0,2228.0,2316.0,24344.0,24043.0,24104.0,25312.0,26524.0,28165.0,29554.0
4,116,2021-11-26,2212,45,4,199611,24344,1.8872,15.7944,86.692,Friday,595.0,925.0,2035.0,1986.0,2228.0,2316.0,2463.0,24043.0,24104.0,25312.0,26524.0,28165.0,29554.0,30899.0
5,117,2021-11-27,595,11,2,200206,24043,1.9409333333333334,14.093733333333335,87.816,Saturday,925.0,2035.0,1986.0,2228.0,2316.0,2463.0,846.0,24104.0,25312.0,26524.0,28165.0,29554.0,30899.0,30671.0
6,118,2021-11-28,925,27,3,201131,24104,1.4554666666666667,8.4724,90.604,Sunday,2035.0,1986.0,2228.0,2316.0,2463.0,846.0,637.0,25312.0,26524.0,28165.0,29554.0,30899.0,30671.0,30190.0
7,119,2021-11-29,2035,47,14,203166,25312,1.2930666666666668,14.578086274666667,86.97333333333333,Monday,1986.0,2228.0,2316.0,2463.0,846.0,637.0,,26524.0,28165.0,29554.0,30899.0,30671.0,30190.0,
8,120,2021-11-30,1986,71,9,205152,26524,3.8296,25.308,87.64933333333333,Tuesday,2228.0,2316.0,2463.0,846.0,637.0,,,28165.0,29554.0,30899.0,30671.0,30190.0,,
9,121,2021-12-01,2228,47,7,207380,28165,5.973333333333333,27.384304762,86.784,Wednesday,2316.0,2463.0,846.0,637.0,,,,29554.0,30899.0,30671.0,30190.0,,,
10,122,2021-12-02,2316,75,8,209696,29554,2.6561333333333335,14.7532,84.95866666666666,Thursday,2463.0,846.0,637.0,,,,,30899.0,30671.0,30190.0,,,,
11,123,2021-12-03,2463,49,14,212159,30899,0.7289333333333333,17.95293333333333,83.58,Friday,846.0,637.0,,,,,,30671.0,30190.0,,,,,
12,124,2021-12-04,846,10,2,213005,30671,3.0442666666666667,14.948933333333335,91.26666666666667,Saturday,637.0,,,,,,,30190.0,,,,,,
13,125,2021-12-05,637,8,3,213642,30190,2.8241333333333336,11.414,87.404,Sunday,,,,,,,,,,,,,,
