,Date,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,Total_Confirmed,Current_Infected,temperature,wind_speed,relative_humidity,Day_of_week,PCR_Postive_Count_lag_-1,PCR_Postive_Count_lag_-2,PCR_Postive_Count_lag_-3,PCR_Postive_Count_lag_-4,PCR_Postive_Count_lag_-5,PCR_Postive_Count_lag_-6,PCR_Postive_Count_lag_-7,Current_Infected_lag_-1,Current_Infected_lag_-2,Current_Infected_lag_-3,Current_Infected_lag_-4,Current_Infected_lag_-5,Current_Infected_lag_-6,Current_Infected_lag_-7
29,2021-08-31,588,31,3,146163,6267,15.206266666666666,11.380666666666666,80.75866666666667,Tuesday,815.0,786.0,593.0,326.0,393.0,532.0,668.0,6929.0,7535.0,7916.0,8013.0,8187.0,8478.0,8876.0
30,2021-09-01,815,26,5,146978,6929,14.883333333333333,11.327066666666667,80.01066666666667,Wednesday,786.0,593.0,326.0,393.0,532.0,668.0,742.0,7535.0,7916.0,8013.0,8187.0,8478.0,8876.0,9388.0
31,2021-09-02,786,21,-1,147764,7535,16.131066666666666,12.135066666666667,74.312,Thursday,593.0,326.0,393.0,532.0,668.0,742.0,759.0,7916.0,8013.0,8187.0,8478.0,8876.0,9388.0,9868.0
32,2021-09-03,593,19,0,148357,7916,17.459999999999997,9.000666666666666,70.64666666666668,Friday,326.0,393.0,532.0,668.0,742.0,759.0,559.0,8013.0,8187.0,8478.0,8876.0,9388.0,9868.0,10125.0
33,2021-09-04,326,5,1,148683,8013,17.9876,7.665466666666666,70.23733333333332,Saturday,393.0,532.0,668.0,742.0,759.0,559.0,284.0,8187.0,8478.0,8876.0,9388.0,9868.0,10125.0,10038.0
34,2021-09-05,393,11,0,149076,8187,18.774800000000003,8.106,70.11866666666667,Sunday,532.0,668.0,742.0,759.0,559.0,284.0,268.0,8478.0,8876.0,9388.0,9868.0,10125.0,10038.0,9911.0
35,2021-09-06,532,12,4,149608,8478,19.1236,6.836399999999999,68.32933333333334,Monday,668.0,742.0,759.0,559.0,284.0,268.0,509.0,8876.0,9388.0,9868.0,10125.0,10038.0,9911.0,10069.0
36,2021-09-07,668,41,1,150276,8876,18.7092,7.4169222222333335,70.27199999999999,Tuesday,742.0,759.0,559.0,284.0,268.0,509.0,470.0,9388.0,9868.0,10125.0,10038.0,9911.0,10069.0,10206.0
37,2021-09-08,742,33,1,151018,9388,19.241333333333333,10.699633333333333,66.0,Wednesday,759.0,559.0,284.0,268.0,509.0,470.0,589.0,9868.0,10125.0,10038.0,9911.0,10069.0,10206.0,10509.0
38,2021-09-09,759,32,5,151777,9868,19.542266666666666,10.9052,74.23466666666667,Thursday,559.0,284.0,268.0,509.0,470.0,589.0,480.0,10125.0,10038.0,9911.0,10069.0,10206.0,10509.0,10631.0
39,2021-09-10,559,19,0,152336,10125,19.16893333333333,11.509733333333333,80.32933333333334,Friday,284.0,268.0,509.0,470.0,589.0,480.0,425.0,10038.0,9911.0,10069.0,10206.0,10509.0,10631.0,10445.0
40,2021-09-11,284,4,2,152620,10038,17.682266666666667,9.978533333333333,82.09866666666667,Saturday,268.0,509.0,470.0,589.0,480.0,425.0,142.0,9911.0,10069.0,10206.0,10509.0,10631.0,10445.0,10287.0
41,2021-09-12,268,9,1,152888,9911,16.01973333333333,6.832666666666666,76.87466666666666,Sunday,509.0,470.0,589.0,480.0,425.0,142.0,255.0,10069.0,10206.0,10509.0,10631.0,10445.0,10287.0,10102.0
42,2021-09-13,509,32,1,153397,10069,16.503866666666667,7.612355555333334,75.05466666666666,Monday,470.0,589.0,480.0,425.0,142.0,255.0,322.0,10206.0,10509.0,10631.0,10445.0,10287.0,10102.0,9981.0
43,2021-09-14,470,23,3,153867,10206,18.157066666666665,6.6633000000000004,80.15599999999999,Tuesday,589.0,480.0,425.0,142.0,255.0,322.0,445.0,10509.0,10631.0,10445.0,10287.0,10102.0,9981.0,9933.0
44,2021-09-15,589,25,1,154456,10509,18.4492,11.608533333333334,90.144,Wednesday,480.0,425.0,142.0,255.0,322.0,445.0,455.0,10631.0,10445.0,10287.0,10102.0,9981.0,9933.0,10066.0
45,2021-09-16,480,33,3,154936,10631,15.488266666666668,8.949333333333334,82.66000000000001,Thursday,425.0,142.0,255.0,322.0,445.0,455.0,342.0,10445.0,10287.0,10102.0,9981.0,9933.0,10066.0,9986.0
46,2021-09-17,425,18,2,155361,10445,14.5908,5.157066666666666,82.76133333333334,Friday,142.0,255.0,322.0,445.0,455.0,342.0,428.0,10287.0,10102.0,9981.0,9933.0,10066.0,9986.0,9863.0
47,2021-09-18,142,1,0,155503,10287,14.939066666666667,7.8794666666666675,78.78133333333334,Saturday,255.0,322.0,445.0,455.0,342.0,428.0,145.0,10102.0,9981.0,9933.0,10066.0,9986.0,9863.0,9515.0
48,2021-09-19,255,6,3,155758,10102,14.001333333333333,10.727866666666667,79.828,Sunday,322.0,445.0,455.0,342.0,428.0,145.0,131.0,9981.0,9933.0,10066.0,9986.0,9863.0,9515.0,9127.0
49,2021-09-20,322,22,4,156080,9981,13.022533333333334,8.207466666666667,77.41066666666667,Monday,445.0,455.0,342.0,428.0,145.0,131.0,314.0,9933.0,10066.0,9986.0,9863.0,9515.0,9127.0,8958.0
50,2021-09-21,445,22,3,156525,9933,12.327466666666668,9.703831884066666,67.02133333333333,Tuesday,455.0,342.0,428.0,145.0,131.0,314.0,394.0,10066.0,9986.0,9863.0,9515.0,9127.0,8958.0,10314.0
