,index,Date,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,Total_Confirmed,Current_Infected,temperature,wind_speed,relative_humidity,Day_of_week,PCR_Postive_Count_lag_-1,PCR_Postive_Count_lag_-2,PCR_Postive_Count_lag_-3,PCR_Postive_Count_lag_-4,PCR_Postive_Count_lag_-5,PCR_Postive_Count_lag_-6,PCR_Postive_Count_lag_-7,Current_Infected_lag_-1,Current_Infected_lag_-2,Current_Infected_lag_-3,Current_Infected_lag_-4,Current_Infected_lag_-5,Current_Infected_lag_-6,Current_Infected_lag_-7
0,210,2022-02-28,5104,65,5,507205,123314,3.0650666666666666,12.164266666666666,60.392,Monday,7577.0,7389.0,8097.0,10016.0,2591.0,2362.0,8097.0,126858.0,131939.0,131155.0,132406.0,126613.0,120813.0,121951.0
1,211,2022-03-01,7577,109,11,514782,126858,2.384266666666667,10.28,58.95466666666666,Tuesday,7389.0,8097.0,10016.0,2591.0,2362.0,8097.0,10016.0,131939.0,131155.0,132406.0,126613.0,120813.0,121951.0,128436.0
2,212,2022-03-02,7389,86,13,522171,131939,2.3586666666666667,7.906666666666666,60.781333333333336,Wednesday,8097.0,10016.0,2591.0,2362.0,8097.0,10016.0,10611.0,131155.0,132406.0,126613.0,120813.0,121951.0,128436.0,136893.0
3,213,2022-03-03,8097,69,9,530268,131155,2.906,8.8944,59.032000000000004,Thursday,10016.0,2591.0,2362.0,8097.0,10016.0,10611.0,10482.0,132406.0,126613.0,120813.0,121951.0,128436.0,136893.0,139703.0
4,214,2022-03-04,10016,70,7,540284,132406,2.457066666666667,10.661866666666667,59.224000000000004,Friday,2591.0,2362.0,8097.0,10016.0,10611.0,10482.0,9776.0,126613.0,120813.0,121951.0,128436.0,136893.0,139703.0,140487.0
5,215,2022-03-05,2591,15,1,542875,126613,1.3524,10.276533333333333,61.87066666666667,Saturday,2362.0,8097.0,10016.0,10611.0,10482.0,9776.0,3058.0,120813.0,121951.0,128436.0,136893.0,139703.0,140487.0,135977.0
6,216,2022-03-06,2362,4,1,545237,120813,1.2716,12.952666666666666,54.868,Sunday,8097.0,10016.0,10611.0,10482.0,9776.0,3058.0,2192.0,121951.0,128436.0,136893.0,139703.0,140487.0,135977.0,131151.0
7,217,2022-03-07,8097,69,11,553334,121951,0.2144,16.2676,54.029333333333334,Monday,10016.0,10611.0,10482.0,9776.0,3058.0,2192.0,,128436.0,136893.0,139703.0,140487.0,135977.0,131151.0,
8,218,2022-03-08,10016,106,12,563350,128436,2.4610666666666665,15.894666666666668,50.462666666666664,Tuesday,10611.0,10482.0,9776.0,3058.0,2192.0,,,136893.0,139703.0,140487.0,135977.0,131151.0,,
9,219,2022-03-09,10611,92,8,573961,136893,3.8510666666666666,8.611066666666666,50.88933333333333,Wednesday,10482.0,9776.0,3058.0,2192.0,,,,139703.0,140487.0,135977.0,131151.0,,,
10,220,2022-03-10,10482,89,6,584443,139703,6.357600000000001,12.819733333333334,47.91466666666667,Thursday,9776.0,3058.0,2192.0,,,,,140487.0,135977.0,131151.0,,,,
11,221,2022-03-11,9776,79,8,594219,140487,6.490266666666667,17.050666666666665,45.34133333333333,Friday,3058.0,2192.0,,,,,,135977.0,131151.0,,,,,
12,222,2022-03-12,3058,22,0,597277,135977,7.620933333333334,11.1416,52.53866666666667,Saturday,2192.0,,,,,,,131151.0,,,,,,
13,223,2022-03-13,2192,8,0,599469,131151,7.996266666666667,9.706266666666666,51.82533333333333,Sunday,,,,,,,,,,,,,,
