,Date,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,Total_Confirmed,Current_Infected,temperature,wind_speed,relative_humidity,Day_of_week,PCR_Postive_Count_lag_-1,PCR_Postive_Count_lag_-2,PCR_Postive_Count_lag_-3,PCR_Postive_Count_lag_-4,PCR_Postive_Count_lag_-5,PCR_Postive_Count_lag_-6,PCR_Postive_Count_lag_-7,Current_Infected_lag_-1,Current_Infected_lag_-2,Current_Infected_lag_-3,Current_Infected_lag_-4,Current_Infected_lag_-5,Current_Infected_lag_-6,Current_Infected_lag_-7
211,2022-03-01,7577,109,11,514782,126858,2.384266666666667,10.28,58.95466666666666,Tuesday,7389.0,8097.0,10016.0,2591.0,2362.0,8097.0,10016.0,131939.0,131155.0,132406.0,126613.0,120813.0,121951.0,128436.0
212,2022-03-02,7389,86,13,522171,131939,2.3586666666666667,7.906666666666666,60.781333333333336,Wednesday,8097.0,10016.0,2591.0,2362.0,8097.0,10016.0,10611.0,131155.0,132406.0,126613.0,120813.0,121951.0,128436.0,136893.0
213,2022-03-03,8097,69,9,530268,131155,2.906,8.8944,59.032000000000004,Thursday,10016.0,2591.0,2362.0,8097.0,10016.0,10611.0,10482.0,132406.0,126613.0,120813.0,121951.0,128436.0,136893.0,139703.0
214,2022-03-04,10016,70,7,540284,132406,2.457066666666667,10.661866666666667,59.224000000000004,Friday,2591.0,2362.0,8097.0,10016.0,10611.0,10482.0,9776.0,126613.0,120813.0,121951.0,128436.0,136893.0,139703.0,140487.0
215,2022-03-05,2591,15,1,542875,126613,1.3524,10.276533333333333,61.87066666666667,Saturday,2362.0,8097.0,10016.0,10611.0,10482.0,9776.0,3058.0,120813.0,121951.0,128436.0,136893.0,139703.0,140487.0,135977.0
216,2022-03-06,2362,4,1,545237,120813,1.2716,12.952666666666666,54.868,Sunday,8097.0,10016.0,10611.0,10482.0,9776.0,3058.0,2192.0,121951.0,128436.0,136893.0,139703.0,140487.0,135977.0,131151.0
217,2022-03-07,8097,69,11,553334,121951,0.2144,16.2676,54.029333333333334,Monday,10016.0,10611.0,10482.0,9776.0,3058.0,2192.0,10065.0,128436.0,136893.0,139703.0,140487.0,135977.0,131151.0,135108.0
218,2022-03-08,10016,106,12,563350,128436,2.4610666666666665,15.894666666666668,50.462666666666664,Tuesday,10611.0,10482.0,9776.0,3058.0,2192.0,10065.0,11726.0,136893.0,139703.0,140487.0,135977.0,131151.0,135108.0,143397.0
219,2022-03-09,10611,92,8,573961,136893,3.8510666666666666,8.611066666666666,50.88933333333333,Wednesday,10482.0,9776.0,3058.0,2192.0,10065.0,11726.0,12670.0,139703.0,140487.0,135977.0,131151.0,135108.0,143397.0,154838.0
220,2022-03-10,10482,89,6,584443,139703,6.357600000000001,12.819733333333334,47.91466666666667,Thursday,9776.0,3058.0,2192.0,10065.0,11726.0,12670.0,12490.0,140487.0,135977.0,131151.0,135108.0,143397.0,154838.0,160911.0
221,2022-03-11,9776,79,8,594219,140487,6.490266666666667,17.050666666666665,45.34133333333333,Friday,3058.0,2192.0,10065.0,11726.0,12670.0,12490.0,12564.0,135977.0,131151.0,135108.0,143397.0,154838.0,160911.0,165752.0
222,2022-03-12,3058,22,0,597277,135977,7.620933333333334,11.1416,52.53866666666667,Saturday,2192.0,10065.0,11726.0,12670.0,12490.0,12564.0,2369.0,131151.0,135108.0,143397.0,154838.0,160911.0,165752.0,161934.0
223,2022-03-13,2192,8,0,599469,131151,7.996266666666667,9.706266666666666,51.82533333333333,Sunday,10065.0,11726.0,12670.0,12490.0,12564.0,2369.0,1965.0,135108.0,143397.0,154838.0,160911.0,165752.0,161934.0,157568.0
224,2022-03-14,10065,57,7,609534,135108,7.8624,13.395733333333334,73.896,Monday,11726.0,12670.0,12490.0,12564.0,2369.0,1965.0,9681.0,143397.0,154838.0,160911.0,165752.0,161934.0,157568.0,161517.0
225,2022-03-15,11726,59,6,621260,143397,5.303333333333333,8.38230303,88.78533333333333,Tuesday,12670.0,12490.0,12564.0,2369.0,1965.0,9681.0,12261.0,154838.0,160911.0,165752.0,161934.0,157568.0,161517.0,170673.0
226,2022-03-16,12670,77,20,633930,154838,6.8892,13.002933333333335,84.55600000000001,Wednesday,12490.0,12564.0,2369.0,1965.0,9681.0,12261.0,13581.0,160911.0,165752.0,161934.0,157568.0,161517.0,170673.0,182935.0
227,2022-03-17,12490,82,4,646420,160911,7.3944,12.911466666666666,77.98266666666667,Thursday,12564.0,2369.0,1965.0,9681.0,12261.0,13581.0,13907.0,165752.0,161934.0,157568.0,161517.0,170673.0,182935.0,190656.0
228,2022-03-18,12564,96,3,658984,165752,7.3516,19.25426666666667,60.65866666666667,Friday,2369.0,1965.0,9681.0,12261.0,13581.0,13907.0,13950.0,161934.0,157568.0,161517.0,170673.0,182935.0,190656.0,197000.0
229,2022-03-19,2369,29,1,661353,161934,6.863866666666667,21.94333333333333,55.04666666666667,Saturday,1965.0,9681.0,12261.0,13581.0,13907.0,13950.0,3228.0,157568.0,161517.0,170673.0,182935.0,190656.0,197000.0,192903.0
230,2022-03-20,1965,6,0,663318,157568,7.436133333333333,15.380666666666666,57.980000000000004,Sunday,9681.0,12261.0,13581.0,13907.0,13950.0,3228.0,2379.0,161517.0,170673.0,182935.0,190656.0,197000.0,192903.0,186889.0
231,2022-03-21,9681,55,8,673296,161517,9.910266666666667,8.496933333333333,54.71066666666666,Monday,12261.0,13581.0,13907.0,13950.0,3228.0,2379.0,12055.0,170673.0,182935.0,190656.0,197000.0,192903.0,186889.0,190348.0
232,2022-03-22,12261,107,15,685557,170673,9.038266666666665,7.752933333333333,50.672000000000004,Tuesday,13581.0,13907.0,13950.0,3228.0,2379.0,12055.0,14163.0,182935.0,190656.0,197000.0,192903.0,186889.0,190348.0,200364.0
