,Date,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,Total_Confirmed,Current_Infected,temperature,wind_speed,relative_humidity,Day_of_week,PCR_Postive_Count_lag_-1,PCR_Postive_Count_lag_-2,PCR_Postive_Count_lag_-3,PCR_Postive_Count_lag_-4,PCR_Postive_Count_lag_-5,PCR_Postive_Count_lag_-6,PCR_Postive_Count_lag_-7,Current_Infected_lag_-1,Current_Infected_lag_-2,Current_Infected_lag_-3,Current_Infected_lag_-4,Current_Infected_lag_-5,Current_Infected_lag_-6,Current_Infected_lag_-7
293,2022-06-02,1800,18,1,1009599,34066,15.075466666666667,9.133066666666668,55.836,Thursday,1969.0,3449.0,3389.0,3986.0,3380.0,4270.0,4648.0,32871.0,28402.0,31456.0,32544.0,33655.0,33060.0,37130.0
294,2022-06-03,1969,31,3,1011568,32871,17.985333333333333,9.419866666666667,64.54666666666667,Friday,3449.0,3389.0,3986.0,3380.0,4270.0,4648.0,4888.0,28402.0,31456.0,32544.0,33655.0,33060.0,37130.0,41723.0
295,2022-06-07,3449,37,4,1015017,28402,16.5872,13.0448,72.64266666666667,Tuesday,3389.0,3986.0,3380.0,4270.0,4648.0,4888.0,4553.0,31456.0,32544.0,33655.0,33060.0,37130.0,41723.0,42255.0
296,2022-06-08,3389,47,2,1018406,31456,15.2592,12.1932,83.08133333333333,Wednesday,3986.0,3380.0,4270.0,4648.0,4888.0,4553.0,4406.0,32544.0,33655.0,33060.0,37130.0,41723.0,42255.0,43378.0
297,2022-06-09,3986,36,1,1022392,32544,14.534666666666668,13.602666666666666,76.83466666666666,Thursday,3380.0,4270.0,4648.0,4888.0,4553.0,4406.0,5532.0,33655.0,33060.0,37130.0,41723.0,42255.0,43378.0,48509.0
298,2022-06-10,3380,20,1,1025772,33655,16.961066666666667,7.0868,66.968,Friday,4270.0,4648.0,4888.0,4553.0,4406.0,5532.0,4612.0,33060.0,37130.0,41723.0,42255.0,43378.0,48509.0,52856.0
299,2022-06-13,4270,32,4,1030042,33060,16.7944,11.969999999999999,55.26,Monday,4648.0,4888.0,4553.0,4406.0,5532.0,4612.0,4783.0,37130.0,41723.0,42255.0,43378.0,48509.0,52856.0,55670.0
300,2022-06-14,4648,44,4,1034690,37130,17.72533333333333,8.2028,51.059999999999995,Tuesday,4888.0,4553.0,4406.0,5532.0,4612.0,4783.0,4725.0,41723.0,42255.0,43378.0,48509.0,52856.0,55670.0,57838.0
301,2022-06-15,4888,50,1,1039578,41723,21.50426666666667,7.752133333333333,47.79866666666667,Wednesday,4553.0,4406.0,5532.0,4612.0,4783.0,4725.0,4932.0,42255.0,43378.0,48509.0,52856.0,55670.0,57838.0,57032.0
302,2022-06-17,4553,35,3,1044131,42255,21.460933333333333,7.6352,47.572,Friday,4406.0,5532.0,4612.0,4783.0,4725.0,4932.0,6199.0,43378.0,48509.0,52856.0,55670.0,57838.0,57032.0,62778.0
303,2022-06-20,4406,34,2,1048537,43378,16.00945,12.2127888889,75.55138888900001,Monday,5532.0,4612.0,4783.0,4725.0,4932.0,6199.0,5363.0,48509.0,52856.0,55670.0,57838.0,57032.0,62778.0,67771.0
304,2022-06-21,5532,90,3,1054069,48509,18.066,10.069466666666667,61.088,Tuesday,4612.0,4783.0,4725.0,4932.0,6199.0,5363.0,4714.0,52856.0,55670.0,57838.0,57032.0,62778.0,67771.0,71454.0
305,2022-06-22,4612,64,7,1058681,52856,20.069599999999998,8.239600000000001,64.424,Wednesday,4783.0,4725.0,4932.0,6199.0,5363.0,4714.0,4516.0,55670.0,57838.0,57032.0,62778.0,67771.0,71454.0,72270.0
306,2022-06-23,4783,55,5,1063464,55670,22.9796,9.663333333333332,65.07733333333333,Thursday,4725.0,4932.0,6199.0,5363.0,4714.0,4516.0,5296.0,57838.0,57032.0,62778.0,67771.0,71454.0,72270.0,67478.0
307,2022-06-24,4725,38,0,1068189,57838,18.761866666666666,13.828666666666667,81.16799999999999,Friday,4932.0,6199.0,5363.0,4714.0,4516.0,5296.0,5235.0,57032.0,62778.0,67771.0,71454.0,72270.0,67478.0,72050.0
