,Date,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,Total_Confirmed,Current_Infected,temperature,wind_speed,relative_humidity,Day_of_week,PCR_Postive_Count_lag_-1,PCR_Postive_Count_lag_-2,PCR_Postive_Count_lag_-3,PCR_Postive_Count_lag_-4,PCR_Postive_Count_lag_-5,PCR_Postive_Count_lag_-6,PCR_Postive_Count_lag_-7,Current_Infected_lag_-1,Current_Infected_lag_-2,Current_Infected_lag_-3,Current_Infected_lag_-4,Current_Infected_lag_-5,Current_Infected_lag_-6,Current_Infected_lag_-7
121,2021-12-01,2228,47,7,207380,28165,5.973333333333333,27.384304762,86.784,Wednesday,2316.0,2463.0,846.0,637.0,1774.0,1751.0,2384.0,29554.0,30899.0,30671.0,30190.0,30910.0,31640.0,33278.0
122,2021-12-02,2316,75,8,209696,29554,2.6561333333333335,14.7532,84.95866666666666,Thursday,2463.0,846.0,637.0,1774.0,1751.0,2384.0,1741.0,30899.0,30671.0,30190.0,30910.0,31640.0,33278.0,33967.0
123,2021-12-03,2463,49,14,212159,30899,0.7289333333333333,17.95293333333333,83.58,Friday,846.0,637.0,1774.0,1751.0,2384.0,1741.0,1908.0,30671.0,30190.0,30910.0,31640.0,33278.0,33967.0,34412.0
124,2021-12-04,846,10,2,213005,30671,3.0442666666666667,14.948933333333335,91.26666666666667,Saturday,637.0,1774.0,1751.0,2384.0,1741.0,1908.0,490.0,30190.0,30910.0,31640.0,33278.0,33967.0,34412.0,33402.0
125,2021-12-05,637,8,3,213642,30190,2.8241333333333336,11.414,87.404,Sunday,1774.0,1751.0,2384.0,1741.0,1908.0,490.0,479.0,30910.0,31640.0,33278.0,33967.0,34412.0,33402.0,32387.0
126,2021-12-06,1774,33,10,215416,30910,1.4329333333333334,9.7232,90.55199999999999,Monday,1751.0,2384.0,1741.0,1908.0,490.0,479.0,1419.0,31640.0,33278.0,33967.0,34412.0,33402.0,32387.0,32132.0
127,2021-12-07,1751,50,20,217167,31640,3.0030666666666668,18.616266666666665,81.96000000000001,Tuesday,2384.0,1741.0,1908.0,490.0,479.0,1419.0,1620.0,33278.0,33967.0,34412.0,33402.0,32387.0,32132.0,32364.0
128,2021-12-08,2384,70,13,219551,33278,3.1598666666666664,12.295466666666668,90.21733333333333,Wednesday,1741.0,1908.0,490.0,479.0,1419.0,1620.0,1407.0,33967.0,34412.0,33402.0,32387.0,32132.0,32364.0,32849.0
129,2021-12-09,1741,62,15,221292,33967,1.8946666666666667,14.2304,90.34400000000001,Thursday,1908.0,490.0,479.0,1419.0,1620.0,1407.0,1492.0,34412.0,33402.0,32387.0,32132.0,32364.0,32849.0,32817.0
130,2021-12-10,1908,63,17,223200,34412,1.2329333333333332,13.846133333333334,88.748,Friday,490.0,479.0,1419.0,1620.0,1407.0,1492.0,1468.0,33402.0,32387.0,32132.0,32364.0,32849.0,32817.0,32338.0
131,2021-12-11,490,8,0,223690,33402,2.131066666666667,11.344133333333334,87.69866666666667,Saturday,479.0,1419.0,1620.0,1407.0,1492.0,1468.0,393.0,32387.0,32132.0,32364.0,32849.0,32817.0,32338.0,30982.0
132,2021-12-12,479,11,1,224169,32387,3.384266666666667,15.124799999999999,89.82666666666667,Sunday,1419.0,1620.0,1407.0,1492.0,1468.0,393.0,330.0,32132.0,32364.0,32849.0,32817.0,32338.0,30982.0,29574.0
133,2021-12-13,1419,24,8,225588,32132,6.114933333333334,6.716399999999999,92.672,Monday,1620.0,1407.0,1492.0,1468.0,393.0,330.0,1139.0,32364.0,32849.0,32817.0,32338.0,30982.0,29574.0,28704.0
134,2021-12-14,1620,92,11,227208,32364,5.746933333333333,6.7808,93.30533333333332,Tuesday,1407.0,1492.0,1468.0,393.0,330.0,1139.0,1260.0,32849.0,32817.0,32338.0,30982.0,29574.0,28704.0,28513.0
135,2021-12-15,1407,50,12,228615,32849,5.962666666666666,5.0367999999999995,91.616,Wednesday,1492.0,1468.0,393.0,330.0,1139.0,1260.0,1402.0,32817.0,32338.0,30982.0,29574.0,28704.0,28513.0,28979.0
136,2021-12-16,1492,65,15,230107,32817,6.879733333333333,6.598533333333333,88.912,Thursday,1468.0,393.0,330.0,1139.0,1260.0,1402.0,960.0,32338.0,30982.0,29574.0,28704.0,28513.0,28979.0,28261.0
137,2021-12-17,1468,81,11,231575,32338,5.8848,9.901333333333332,88.184,Friday,393.0,330.0,1139.0,1260.0,1402.0,960.0,552.0,30982.0,29574.0,28704.0,28513.0,28979.0,28261.0,26959.0
138,2021-12-18,393,13,2,231968,30982,2.9853333333333336,8.618266666666667,94.968,Saturday,330.0,1139.0,1260.0,1402.0,960.0,552.0,321.0,29574.0,28704.0,28513.0,28979.0,28261.0,26959.0,25257.0
139,2021-12-19,330,12,1,232298,29574,4.119066666666667,10.185866666666668,90.44800000000001,Sunday,1139.0,1260.0,1402.0,960.0,552.0,321.0,282.0,28704.0,28513.0,28979.0,28261.0,26959.0,25257.0,23518.0
140,2021-12-20,1139,53,15,233437,28704,2.3954666666666666,9.4892,81.26266666666668,Monday,1260.0,1402.0,960.0,552.0,321.0,282.0,867.0,28513.0,28979.0,28261.0,26959.0,25257.0,23518.0,22499.0
141,2021-12-21,1260,87,19,234697,28513,-2.1274666666666664,9.8836,84.4,Tuesday,1402.0,960.0,552.0,321.0,282.0,867.0,1066.0,28979.0,28261.0,26959.0,25257.0,23518.0,22499.0,22353.0
142,2021-12-22,1402,67,18,236099,28979,-3.5977333333333332,9.124933333333333,87.944,Wednesday,960.0,552.0,321.0,282.0,867.0,1066.0,1193.0,28261.0,26959.0,25257.0,23518.0,22499.0,22353.0,22711.0
143,2021-12-23,960,42,17,237059,28261,0.6048000000000001,16.6428,85.58,Thursday,552.0,321.0,282.0,867.0,1066.0,1193.0,1515.0,26959.0,25257.0,23518.0,22499.0,22353.0,22711.0,22628.0
144,2021-12-24,552,27,5,237611,26959,7.1778666666666675,16.1416,89.41333333333334,Friday,321.0,282.0,867.0,1066.0,1193.0,1515.0,754.0,25257.0,23518.0,22499.0,22353.0,22711.0,22628.0,21764.0
145,2021-12-25,321,25,2,237932,25257,3.4878666666666667,9.939733333333333,95.81466666666667,Saturday,282.0,867.0,1066.0,1193.0,1515.0,754.0,268.0,23518.0,22499.0,22353.0,22711.0,22628.0,21764.0,20323.0
146,2021-12-26,282,6,1,238214,23518,1.1898666666666666,9.624400000000001,94.81066666666668,Sunday,867.0,1066.0,1193.0,1515.0,754.0,268.0,540.0,22499.0,22353.0,22711.0,22628.0,21764.0,20323.0,19248.0
147,2021-12-27,867,30,13,239081,22499,5.2805333333333335,10.897866666666665,95.89866666666667,Monday,1066.0,1193.0,1515.0,754.0,268.0,540.0,1148.0,22353.0,22711.0,22628.0,21764.0,20323.0,19248.0,18883.0
