,Date,District,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,temperature,wind_speed,relative_humidity
3360,2021-11-22,Cochem-Zell,28,1,0,1.616,12.664,85.84
3361,2021-11-22,Rhein-Pfalz-Kreis,107,0,0,5.416,11.488,79.52
3362,2021-11-22,Birkenfeld,37,2,0,3.172,8.352,82.84
3363,2021-11-22,Ahrweiler,37,0,0,3.912,12.664,84.28
3364,2021-11-22,Altenkirchen,75,3,0,2.788,10.96,86.56
3365,2021-11-22,Donnersbergkreis,65,1,0,2.736,29.996,86.32
3366,2021-11-22,KS Mainz,89,1,0,5.38,15.112,85.32
3367,2021-11-22,Kaiserslautern,41,0,0,4.34,29.996,82.92
3368,2021-11-22,Kusel,22,1,0,3.932,21.208,82.92
3369,2021-11-22,Mainz-Bingen,79,0,0,5.384,15.212,85.32
3370,2021-11-22,Mayen-Koblenz,78,3,0,5.004,8.7,81.0
3371,2021-11-22,Neuwied,0,0,0,2.952,8.7,87.44
3372,2021-11-22,Rhein-Lahn-Kreis,33,3,0,5.384,8.896,81.0
3373,2021-11-22,Germersheim,201,0,-1,2.216,29.996,79.72
3374,2021-11-22,Bernkastel-Wittlich,39,1,1,4.068,18.172,83.6
3375,2021-11-22,Alzey-Worms,54,2,1,4.364,8.896,85.32
3376,2021-11-22,KS Neustadt a.d.W.,37,1,0,2.216,29.996,89.76
3377,2021-11-22,Bad Kreuznach,95,0,0,4.764,8.896,78.68
3378,2021-11-22,Trier-Saarburg,36,0,0,4.068,18.172,83.72
3379,2021-11-22,Vulkaneifel,3,0,0,1.616,12.664,84.28
3380,2021-11-22,Westerwaldkreis,118,7,0,1.464,10.96,83.12
3381,2021-11-22,KS Frankenthal,36,0,0,5.268,11.488,82.56
3382,2021-11-22,KS Kaiserslautern,33,0,0,4.34,29.996,82.92
3383,2021-11-22,KS Ludwigshafen,94,0,0,5.296,11.488,83.08
3384,2021-11-22,KS Landau i.d.Pf.,50,2,0,5.276,29.996,80.88
3385,2021-11-22,KS Pirmasens,9,1,2,4.156,19.616,83.24
3386,2021-11-22,KS Speyer,40,0,1,5.872,11.488,79.72
3387,2021-11-22,KS Trier,28,0,0,4.068,18.172,83.72
3388,2021-11-22,KS Worms,59,1,0,5.268,11.488,82.56
3389,2021-11-22,KS Koblenz,43,0,1,5.004,8.7,81.0
3390,2021-11-23,Westerwaldkreis,62,4,1,1.952,9.184,85.12
3391,2021-11-23,Trier-Saarburg,73,2,0,2.704,14.12,82.64
3392,2021-11-23,KS Worms,81,3,0,1.564,7.308,84.16
3393,2021-11-23,KS Trier,34,0,0,2.704,14.12,82.64
3394,2021-11-23,KS Speyer,75,0,0,1.308,7.308,78.92
3395,2021-11-23,KS Pirmasens,34,0,0,2.012,17.328,75.88
3396,2021-11-23,KS Landau i.d.Pf.,30,0,0,2.78,21.568,73.96
3397,2021-11-23,KS Mainz,91,1,1,2.904,4.968,84.48
3398,2021-11-23,KS Ludwigshafen,90,0,2,1.364,7.308,82.16
3399,2021-11-23,KS Koblenz,78,0,0,1.168,3.032,93.64
3400,2021-11-23,KS Neustadt a.d.W.,54,2,1,0.848,21.568,79.12
3401,2021-11-23,KS Frankenthal,22,0,0,1.564,7.308,84.16
3402,2021-11-23,KS Kaiserslautern,54,2,0,1.008,21.568,83.16
3403,2021-11-23,Rhein-Pfalz-Kreis,147,0,0,2.252,7.308,77.2
3404,2021-11-23,Vulkaneifel,22,1,0,0.78,4.988,87.2
3405,2021-11-23,Germersheim,-2,0,0,0.848,21.568,78.92
3406,2021-11-23,Ahrweiler,28,1,0,2.216,4.988,87.2
3407,2021-11-23,Mainz-Bingen,136,3,1,3.288,4.048,84.48
3408,2021-11-23,Mayen-Koblenz,145,0,0,1.168,3.032,93.64
3409,2021-11-23,Rhein-Lahn-Kreis,61,3,0,3.288,4.848,93.64
3410,2021-11-23,Kusel,23,1,2,2.612,17.244,83.16
3411,2021-11-23,Neuwied,65,2,1,1.38,3.032,95.6
3412,2021-11-23,Kaiserslautern,56,3,0,1.008,21.568,83.16
3413,2021-11-23,Donnersbergkreis,18,0,0,1.512,21.568,79.68
3414,2021-11-23,Cochem-Zell,42,1,0,0.78,4.988,88.28
3415,2021-11-23,Birkenfeld,47,1,0,1.196,4.756,81.08
3416,2021-11-23,Bernkastel-Wittlich,38,1,0,2.704,14.12,82.72
3417,2021-11-23,Bad Kreuznach,39,1,0,1.932,4.848,79.2
3418,2021-11-23,Alzey-Worms,92,4,0,1.796,4.848,84.48
3419,2021-11-23,Altenkirchen,77,2,0,0.616,9.184,96.04
3420,2021-11-24,Altenkirchen,70,3,1,2.524,10.44,89.56
3421,2021-11-24,Alzey-Worms,67,2,0,2.968,5.02,86.64
3422,2021-11-24,Bad Kreuznach,96,0,0,3.408,5.02,83.16
3423,2021-11-24,Bernkastel-Wittlich,89,0,0,3.964,13.456,81.76
3424,2021-11-24,Birkenfeld,38,2,0,2.48,5.616,86.64
3425,2021-11-24,Kusel,28,1,0,2.896,16.276,83.72
3426,2021-11-24,Germersheim,234,2,3,0.448,18.844,81.4
3427,2021-11-24,Kaiserslautern,73,1,0,2.52,18.844,83.72
3428,2021-11-24,Mayen-Koblenz,112,1,0,3.46,4.376,88.16
3429,2021-11-24,Neuwied,68,1,1,2.688,4.376,87.68
3430,2021-11-24,Cochem-Zell,53,0,0,2.068,7.512,90.92
3431,2021-11-24,Ahrweiler,75,2,1,3.708,7.512,85.04
3432,2021-11-24,Donnersbergkreis,29,2,0,1.628,18.844,88.68
3433,2021-11-24,Rhein-Pfalz-Kreis,142,2,0,3.544,5.684,80.16
3434,2021-11-24,Mainz-Bingen,90,2,2,4.208,8.436,86.64
3435,2021-11-24,Vulkaneifel,37,0,0,2.068,7.512,85.04
3436,2021-11-24,Westerwaldkreis,61,3,1,2.096,10.44,79.48
3437,2021-11-24,KS Frankenthal,39,0,0,3.764,5.684,81.2
3438,2021-11-24,KS Kaiserslautern,68,0,0,2.52,18.844,83.72
3439,2021-11-24,KS Koblenz,55,1,0,3.46,4.376,88.16
3440,2021-11-24,KS Landau i.d.Pf.,18,2,0,1.824,18.844,84.8
3441,2021-11-24,KS Neustadt a.d.W.,48,6,0,0.448,18.844,89.8
3442,2021-11-24,KS Mainz,101,1,1,4.316,6.06,86.64
3443,2021-11-24,Rhein-Lahn-Kreis,58,0,0,4.208,5.02,88.16
3444,2021-11-24,KS Pirmasens,27,0,1,1.568,15.036,85.88
3445,2021-11-24,KS Speyer,65,0,1,1.56,5.684,81.4
3446,2021-11-24,KS Trier,24,0,0,3.964,13.456,81.52
3447,2021-11-24,KS Worms,72,0,0,3.764,5.684,81.2
3448,2021-11-24,KS Ludwigshafen,174,0,0,2.78,5.684,80.52
3449,2021-11-24,Trier-Saarburg,40,1,0,3.964,13.456,81.52
3450,2021-11-25,Rhein-Pfalz-Kreis,160,3,0,2.044,4.904,76.96
3451,2021-11-25,Trier-Saarburg,55,11,0,2.612,6.032,79.4
3452,2021-11-25,KS Trier,22,2,0,2.612,6.032,79.4
3453,2021-11-25,Westerwaldkreis,86,4,0,0.592,6.024,84.72
3454,2021-11-25,KS Frankenthal,65,1,0,2.096,4.904,80.88
3455,2021-11-25,KS Ludwigshafen,140,8,0,1.996,4.904,80.72
3456,2021-11-25,KS Koblenz,35,0,0,3.48,3.352,82.32
3457,2021-11-25,KS Landau i.d.Pf.,51,1,0,1.012,7.688,81.88
3458,2021-11-25,KS Mainz,110,2,0,2.34,7.168,86.24
3459,2021-11-25,KS Neustadt a.d.W.,53,4,0,-1.724,7.688,91.76
3460,2021-11-25,KS Worms,63,4,0,2.096,4.904,80.88
3461,2021-11-25,KS Pirmasens,31,0,0,-0.024,6.74,85.76
3462,2021-11-25,Rhein-Lahn-Kreis,72,4,0,2.572,4.044,82.32
3463,2021-11-25,KS Kaiserslautern,45,1,0,0.844,7.688,82.24
3464,2021-11-25,KS Speyer,51,1,0,2.044,4.904,79.04
3465,2021-11-25,Mayen-Koblenz,69,0,1,3.48,3.352,82.32
3466,2021-11-25,Ahrweiler,93,6,2,3.796,4.472,79.76
3467,2021-11-25,Altenkirchen,74,1,0,2.0,6.024,86.36
3468,2021-11-25,Alzey-Worms,94,6,0,1.348,4.044,86.24
3469,2021-11-25,Birkenfeld,30,7,0,0.596,4.036,85.56
3470,2021-11-25,Bad Kreuznach,62,0,0,2.688,4.044,77.16
3471,2021-11-25,Neuwied,49,1,0,2.148,3.352,85.4
3472,2021-11-25,Vulkaneifel,31,0,0,1.244,4.472,79.76
3473,2021-11-25,Cochem-Zell,35,0,0,1.244,4.472,87.0
3474,2021-11-25,Donnersbergkreis,49,0,0,-0.524,7.688,88.44
3475,2021-11-25,Germersheim,178,0,-1,-1.724,7.688,79.04
3476,2021-11-25,Kaiserslautern,60,1,0,0.844,7.688,82.24
3477,2021-11-25,Kusel,39,1,0,1.04,6.448,82.24
3478,2021-11-25,Mainz-Bingen,119,3,0,2.572,7.312,86.24
3479,2021-11-25,Bernkastel-Wittlich,43,1,0,2.612,6.032,79.76
3480,2021-11-26,Birkenfeld,74,0,0,0.596,9.684,92.56
3481,2021-11-26,Bernkastel-Wittlich,67,2,1,1.676,19.212,91.8
3482,2021-11-26,Bad Kreuznach,63,0,0,3.26,7.916,80.04
3483,2021-11-26,Alzey-Worms,101,2,0,2.172,7.916,88.68
3484,2021-11-26,Altenkirchen,75,2,0,2.248,15.844,92.88
3485,2021-11-26,Ahrweiler,61,4,0,4.692,14.38,73.44
3486,2021-11-26,KS Pirmasens,40,0,0,0.472,15.392,92.88
3487,2021-11-26,Kusel,58,1,0,0.2,14.56,87.24
3488,2021-11-26,KS Mainz,112,0,0,2.304,16.056,88.68
3489,2021-11-26,KS Speyer,44,1,0,2.956,14.592,79.6
3490,2021-11-26,KS Trier,52,1,0,1.676,19.212,91.6
3491,2021-11-26,KS Worms,67,3,0,2.916,14.592,85.4
3492,2021-11-26,Cochem-Zell,28,0,0,0.812,14.38,92.8
3493,2021-11-26,KS Neustadt a.d.W.,57,0,0,-0.504,23.876,93.28
3494,2021-11-26,Donnersbergkreis,48,1,1,-0.076,23.876,94.96
3495,2021-11-26,Kaiserslautern,89,2,0,1.46,23.876,87.24
3496,2021-11-26,Germersheim,94,1,2,-0.504,23.876,79.6
3497,2021-11-26,Rhein-Lahn-Kreis,73,1,0,2.64,7.916,81.64
3498,2021-11-26,KS Landau i.d.Pf.,39,0,0,1.896,23.876,85.68
3499,2021-11-26,KS Koblenz,40,0,0,4.052,10.076,81.64
3500,2021-11-26,KS Kaiserslautern,98,1,0,1.46,23.876,87.24
