,Date,District,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,temperature,wind_speed,relative_humidity
6300,2022-02-28,Altenkirchen,154,5,0,3.844,17.628,53.68
6301,2022-02-28,Alzey-Worms,114,5,0,2.7,6.472,61.6
6302,2022-02-28,Bad Kreuznach,292,0,0,2.652,6.472,66.04
6303,2022-02-28,Bernkastel-Wittlich,148,0,0,3.92,13.184,49.84
6304,2022-02-28,Birkenfeld,75,0,0,0.86,5.156,66.68
6305,2022-02-28,KS Speyer,85,0,0,4.008,5.968,56.96
6306,2022-02-28,Kusel,174,1,0,3.956,16.24,62.4
6307,2022-02-28,Germersheim,391,3,0,2.384,23.192,56.96
6308,2022-02-28,Kaiserslautern,274,5,0,2.052,23.192,62.4
6309,2022-02-28,Mainz-Bingen,294,6,1,3.684,9.488,61.6
6310,2022-02-28,Mayen-Koblenz,351,2,0,2.132,6.756,69.92
6311,2022-02-28,Cochem-Zell,32,0,0,2.924,11.284,61.08
6312,2022-02-28,Ahrweiler,132,0,0,2.456,11.284,68.08
6313,2022-02-28,Donnersbergkreis,70,1,0,2.664,23.192,57.32
6314,2022-02-28,Rhein-Lahn-Kreis,181,3,0,3.684,6.472,69.92
6315,2022-02-28,Neuwied,142,1,0,3.624,6.756,56.08
6316,2022-02-28,KS Worms,73,8,0,2.624,5.968,64.92
6317,2022-02-28,Trier-Saarburg,191,0,0,4.64,10.968,48.96
6318,2022-02-28,Vulkaneifel,54,1,1,2.924,11.284,68.08
6319,2022-02-28,Westerwaldkreis,291,2,2,2.2,17.628,57.04
6320,2022-02-28,KS Frankenthal,53,0,0,2.624,5.968,64.92
6321,2022-02-28,KS Kaiserslautern,143,2,0,2.052,23.192,62.4
6322,2022-02-28,KS Koblenz,177,3,0,2.132,6.756,69.92
6323,2022-02-28,KS Landau i.d.Pf.,54,4,0,4.328,23.192,55.32
6324,2022-02-28,KS Mainz,586,8,0,3.2,7.916,61.6
6325,2022-02-28,KS Neustadt a.d.W.,0,0,0,2.384,23.192,54.24
6326,2022-02-28,KS Pirmasens,57,1,1,3.868,13.224,53.4
6327,2022-02-28,KS Trier,142,0,0,4.64,10.968,48.96
6328,2022-02-28,Rhein-Pfalz-Kreis,185,2,0,2.596,5.968,63.72
6329,2022-02-28,KS Ludwigshafen,189,2,0,4.196,5.968,57.72
6330,2022-03-01,Alzey-Worms,200,9,2,1.356,6.292,61.32
6331,2022-03-01,Bad Kreuznach,411,0,0,1.848,6.292,65.44
6332,2022-03-01,Bernkastel-Wittlich,370,8,0,3.508,11.512,56.08
6333,2022-03-01,KS Trier,93,4,0,3.448,8.644,56.24
6334,2022-03-01,Birkenfeld,119,0,0,0.384,4.492,66.84
6335,2022-03-01,Donnersbergkreis,134,1,0,1.548,18.896,55.28
6336,2022-03-01,Germersheim,322,2,0,0.984,18.896,52.68
6337,2022-03-01,Kusel,132,3,0,3.2,14.664,58.2
6338,2022-03-01,Mainz-Bingen,641,5,0,3.212,9.572,61.32
6339,2022-03-01,Cochem-Zell,145,4,0,3.032,7.54,59.2
6340,2022-03-01,Neuwied,241,2,0,2.816,5.572,55.44
6341,2022-03-01,Altenkirchen,190,5,1,3.288,15.54,50.36
6342,2022-03-01,Kaiserslautern,379,1,1,1.7,18.896,58.2
6343,2022-03-01,Ahrweiler,274,0,0,2.716,7.54,65.52
6344,2022-03-01,Mayen-Koblenz,427,0,0,2.268,5.572,67.0
6345,2022-03-01,KS Worms,123,13,1,1.268,5.228,65.4
6346,2022-03-01,KS Neustadt a.d.W.,237,1,0,0.984,18.896,52.2
6347,2022-03-01,KS Mainz,343,9,0,3.064,8.724,61.32
6348,2022-03-01,KS Ludwigshafen,467,7,2,3.624,5.228,51.76
6349,2022-03-01,KS Landau i.d.Pf.,82,0,0,3.428,18.896,50.16
6350,2022-03-01,KS Kaiserslautern,223,5,1,1.7,18.896,58.2
6351,2022-03-01,Vulkaneifel,145,1,1,3.032,7.54,65.52
6352,2022-03-01,Westerwaldkreis,343,8,0,0.956,15.54,56.12
6353,2022-03-01,KS Koblenz,291,1,0,2.268,5.572,67.0
6354,2022-03-01,Trier-Saarburg,122,0,0,3.448,8.644,56.24
6355,2022-03-01,Rhein-Pfalz-Kreis,379,4,1,1.936,5.228,61.4
6356,2022-03-01,Rhein-Lahn-Kreis,347,5,0,3.212,6.292,67.0
6357,2022-03-01,KS Frankenthal,183,2,1,1.268,5.228,65.4
6358,2022-03-01,KS Speyer,118,2,0,3.244,5.228,52.68
6359,2022-03-01,KS Pirmasens,96,7,0,2.788,13.34,49.12
6360,2022-03-02,KS Trier,115,4,1,2.308,7.076,61.04
6361,2022-03-02,KS Worms,200,4,0,1.42,4.16,66.96
6362,2022-03-02,Germersheim,392,4,0,1.56,14.224,60.68
6363,2022-03-02,Donnersbergkreis,213,3,0,2.132,14.224,54.6
6364,2022-03-02,Rhein-Lahn-Kreis,258,4,0,2.94,5.056,65.12
6365,2022-03-02,Cochem-Zell,165,0,0,2.656,5.844,57.8
6366,2022-03-02,KS Speyer,109,0,0,2.168,4.16,60.68
6367,2022-03-02,Altenkirchen,161,2,1,4.304,11.356,46.96
6368,2022-03-02,Alzey-Worms,377,2,0,1.296,5.056,64.48
6369,2022-03-02,Bad Kreuznach,301,10,0,2.348,5.056,64.52
6370,2022-03-02,Bernkastel-Wittlich,318,1,1,2.708,6.848,61.24
6371,2022-03-02,Birkenfeld,134,0,0,0.332,3.584,64.44
6372,2022-03-02,Ahrweiler,245,2,0,3.284,5.844,61.32
6373,2022-03-02,KS Pirmasens,82,4,1,2.2,9.392,56.6
6374,2022-03-02,KS Neustadt a.d.W.,89,14,0,1.56,14.224,52.28
6375,2022-03-02,KS Mainz,476,0,0,3.508,8.348,64.48
6376,2022-03-02,Kusel,52,3,1,2.768,9.724,65.48
6377,2022-03-02,Mainz-Bingen,459,0,0,2.94,10.168,64.48
6378,2022-03-02,Mayen-Koblenz,511,2,-1,2.988,4.476,65.12
6379,2022-03-02,Neuwied,51,1,1,4.4,4.476,46.48
6380,2022-03-02,Rhein-Pfalz-Kreis,378,6,2,1.864,4.16,64.44
6381,2022-03-02,Kaiserslautern,282,7,2,1.068,14.224,65.48
6382,2022-03-02,Vulkaneifel,160,0,0,2.656,5.844,61.32
6383,2022-03-02,Westerwaldkreis,503,0,0,2.82,11.356,45.04
6384,2022-03-02,KS Frankenthal,137,0,0,1.42,4.16,66.96
6385,2022-03-02,KS Kaiserslautern,247,5,3,1.068,14.224,65.48
6386,2022-03-02,KS Koblenz,252,0,0,2.988,4.476,65.12
6387,2022-03-02,KS Landau i.d.Pf.,111,0,0,2.984,14.224,56.52
6388,2022-03-02,KS Ludwigshafen,451,4,1,1.764,4.16,67.28
6389,2022-03-02,Trier-Saarburg,160,4,0,2.308,7.076,61.04
6390,2022-03-03,KS Trier,195,0,0,3.588,8.556,53.6
6391,2022-03-03,KS Speyer,122,0,0,2.6,5.52,64.12
6392,2022-03-03,KS Pirmasens,115,3,0,4.268,9.8,53.96
6393,2022-03-03,KS Neustadt a.d.W.,112,0,0,3.304,15.76,49.88
6394,2022-03-03,KS Ludwigshafen,361,7,2,2.836,5.52,62.36
6395,2022-03-03,KS Landau i.d.Pf.,101,0,0,4.264,15.76,55.12
6396,2022-03-03,KS Koblenz,360,3,0,2.136,5.032,65.84
6397,2022-03-03,KS Mainz,495,6,0,3.984,9.944,58.88
6398,2022-03-03,KS Frankenthal,121,1,0,1.476,5.52,66.32
6399,2022-03-03,Vulkaneifel,145,0,0,3.164,7.976,63.96
6400,2022-03-03,Rhein-Lahn-Kreis,198,2,0,3.096,4.508,65.84
6401,2022-03-03,Rhein-Pfalz-Kreis,329,3,1,2.328,5.52,61.84
6402,2022-03-03,KS Worms,211,1,0,1.476,5.52,66.32
6403,2022-03-03,KS Kaiserslautern,106,4,0,1.576,15.76,64.36
6404,2022-03-03,Trier-Saarburg,190,3,0,3.588,8.556,53.6
6405,2022-03-03,Alzey-Worms,288,5,0,2.344,4.508,58.88
6406,2022-03-03,Bad Kreuznach,524,0,0,2.652,4.508,60.52
6407,2022-03-03,Bernkastel-Wittlich,273,3,0,4.052,6.588,53.2
6408,2022-03-03,Birkenfeld,140,2,0,0.908,4.452,60.68
6409,2022-03-03,Cochem-Zell,208,1,0,3.164,7.976,52.8
6410,2022-03-03,Donnersbergkreis,205,1,0,3.216,15.76,51.96
6411,2022-03-03,Germersheim,292,0,0,3.304,15.76,64.12
6412,2022-03-03,Altenkirchen,384,3,0,3.672,13.612,50.04
6413,2022-03-03,Kusel,79,-1,0,3.992,7.38,64.36
6414,2022-03-03,Mainz-Bingen,535,4,0,3.096,9.624,58.88
6415,2022-03-03,Mayen-Koblenz,554,1,0,2.136,5.032,65.84
6416,2022-03-03,Neuwied,401,1,0,3.892,5.032,49.36
6417,2022-03-03,Kaiserslautern,165,4,1,1.576,15.76,64.36
6418,2022-03-03,Westerwaldkreis,506,9,3,3.116,13.612,46.0
6419,2022-03-03,Ahrweiler,382,3,2,2.376,7.976,63.96
6420,2022-03-04,Kaiserslautern,394,1,1,1.3,17.856,63.8
6421,2022-03-04,Westerwaldkreis,578,3,0,0.74,13.452,61.64
6422,2022-03-04,Cochem-Zell,197,0,1,2.368,7.144,58.64
6423,2022-03-04,Donnersbergkreis,178,1,1,1.76,17.856,60.32
6424,2022-03-04,Germersheim,342,0,0,1.86,17.856,51.96
6425,2022-03-04,Mainz-Bingen,546,3,0,3.2,12.64,61.16
6426,2022-03-04,Rhein-Lahn-Kreis,323,2,0,3.2,6.22,63.24
6427,2022-03-04,Neuwied,594,0,1,2.784,6.084,56.64
6428,2022-03-04,Rhein-Pfalz-Kreis,304,3,1,2.132,7.268,61.64
6429,2022-03-04,Trier-Saarburg,624,6,0,3.388,11.924,51.8
6430,2022-03-04,Vulkaneifel,242,0,0,2.368,7.144,64.36
6431,2022-03-04,Kusel,163,3,0,2.408,12.436,63.8
6432,2022-03-04,Bad Kreuznach,436,1,0,2.02,6.22,64.92
6433,2022-03-04,Mayen-Koblenz,662,5,0,2.024,6.084,63.24
6434,2022-03-04,KS Trier,421,3,0,3.388,11.924,51.8
6435,2022-03-04,Bernkastel-Wittlich,359,7,0,2.408,12.436,52.16
6436,2022-03-04,KS Koblenz,351,2,0,2.024,6.084,63.24
