,Date,District,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,temperature,wind_speed,relative_humidity
5880,2022-02-14,Bernkastel-Wittlich,99,2,1,6.392,20.636,74.84
5881,2022-02-14,Neuwied,355,3,0,7.192,7.576,75.08
5882,2022-02-14,Ahrweiler,121,1,0,9.12,17.06,66.72
5883,2022-02-14,Altenkirchen,381,1,0,7.224,19.156,72.92
5884,2022-02-14,Alzey-Worms,157,-1,0,7.048,7.152,71.32
5885,2022-02-14,Bad Kreuznach,310,1,0,5.396,7.152,78.96
5886,2022-02-14,Birkenfeld,133,3,0,7.096,10.664,75.48
5887,2022-02-14,Rhein-Pfalz-Kreis,361,2,1,6.656,13.02,75.48
5888,2022-02-14,Donnersbergkreis,135,0,0,7.124,32.372,73.64
5889,2022-02-14,Germersheim,575,1,0,6.324,32.372,78.16
5890,2022-02-14,Kaiserslautern,267,4,0,8.904,32.372,69.32
5891,2022-02-14,Kusel,83,1,1,7.172,19.876,69.32
5892,2022-02-14,Mainz-Bingen,447,4,0,6.616,15.864,71.32
5893,2022-02-14,Mayen-Koblenz,259,1,0,5.984,7.576,80.92
5894,2022-02-14,Cochem-Zell,15,0,0,5.884,17.06,75.96
5895,2022-02-14,Rhein-Lahn-Kreis,268,4,0,6.616,7.152,80.92
5896,2022-02-14,KS Trier,125,0,0,7.892,24.732,74.8
5897,2022-02-14,KS Frankenthal,137,1,1,6.656,13.02,78.96
5898,2022-02-14,Trier-Saarburg,152,0,0,7.892,24.732,74.8
5899,2022-02-14,Vulkaneifel,35,0,0,5.884,17.06,66.72
5900,2022-02-14,Westerwaldkreis,418,10,1,5.052,19.156,78.28
5901,2022-02-14,KS Landau i.d.Pf.,93,1,0,8.188,32.372,72.04
5902,2022-02-14,KS Worms,111,0,1,6.656,13.02,78.96
5903,2022-02-14,KS Koblenz,187,2,0,5.984,7.576,80.92
5904,2022-02-14,KS Ludwigshafen,466,5,2,7.856,13.02,72.0
5905,2022-02-14,KS Mainz,527,8,1,6.12,12.384,71.32
5906,2022-02-14,KS Neustadt a.d.W.,89,0,0,6.324,32.372,75.64
5907,2022-02-14,KS Pirmasens,51,0,0,7.824,22.876,76.44
5908,2022-02-14,KS Speyer,146,0,0,6.38,13.02,78.16
5909,2022-02-14,KS Kaiserslautern,210,4,0,8.904,32.372,69.32
5910,2022-02-15,Ahrweiler,226,2,0,7.884,15.368,68.52
5911,2022-02-15,Altenkirchen,248,1,0,5.404,16.22,78.12
5912,2022-02-15,Alzey-Worms,285,2,2,6.496,10.468,72.76
5913,2022-02-15,Bernkastel-Wittlich,234,1,0,4.528,21.376,78.84
5914,2022-02-15,Bad Kreuznach,304,10,0,7.564,10.468,70.6
5915,2022-02-15,Kusel,139,1,2,5.232,21.184,70.92
5916,2022-02-15,Germersheim,269,8,1,3.98,32.672,74.08
5917,2022-02-15,Kaiserslautern,266,2,0,6.7,32.672,70.92
5918,2022-02-15,Mainz-Bingen,595,1,0,6.86,21.832,72.76
5919,2022-02-15,Mayen-Koblenz,530,1,0,6.664,10.664,76.04
5920,2022-02-15,Neuwied,294,2,0,5.492,10.664,78.76
5921,2022-02-15,Cochem-Zell,148,0,0,4.264,15.368,80.0
5922,2022-02-15,Donnersbergkreis,138,-1,0,4.708,32.672,79.16
5923,2022-02-15,Birkenfeld,89,2,0,5.344,14.22,77.96
5924,2022-02-15,Rhein-Pfalz-Kreis,521,3,0,7.24,14.86,70.56
5925,2022-02-15,KS Ludwigshafen,474,12,0,6.924,14.86,76.72
5926,2022-02-15,KS Frankenthal,150,6,0,6.672,14.86,77.16
5927,2022-02-15,KS Kaiserslautern,238,2,0,6.7,32.672,70.92
5928,2022-02-15,Trier-Saarburg,398,10,1,6.224,22.572,78.88
5929,2022-02-15,KS Koblenz,210,0,0,6.664,10.664,76.04
5930,2022-02-15,Vulkaneifel,171,0,0,4.264,15.368,68.52
5931,2022-02-15,KS Landau i.d.Pf.,106,3,0,6.496,32.672,76.08
5932,2022-02-15,Rhein-Lahn-Kreis,446,8,0,6.86,10.468,76.04
5933,2022-02-15,Westerwaldkreis,345,4,0,3.532,16.22,85.16
5934,2022-02-15,KS Neustadt a.d.W.,136,1,0,3.98,32.672,82.48
5935,2022-02-15,KS Pirmasens,78,0,0,5.46,22.724,78.28
