Stadt,PCR_pos_N,Inz1,Inz1b,Inz1c,Inz1d,Inz1e,Inz1f,PCR_pos_Hosp,Inz2,N3,Inz3,Inz3c,Inz3d,Inz3e,Inz3f,PCR_pos_Dec,N5,Inz5c,Inz5d,Inz5e,Inz5f,Week,avg_temperature_per_day,max_temp_per_day,min_temp_per_day,max - min temp
Ahrweiler,39,29.88986778259277,29.88986778259277,101.78117370605469,55.4815788269043,24.65939140319824,9.33968448638916,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,3,2021KW39,10.427999999999999,13.975,6.9,7.075
Altenkirchen,50,38.73356628417969,38.73356628417969,56.02633285522461,41.04248046875,50.246665954589844,12.694866180419922,1,0.7746713161468506,1,0.7746713161468506,0.0,0.0,1.522626280784607,0.0,3,2,0,0,0,2,2021KW39,11.334000000000001,15.45,7.75,7.699999999999998
Cochem-Zell,9,14.615609169006348,14.606122016906738,0.0,0.0,29.371450424194336,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,6,4,0,0,0,4,2021KW39,10.427999999999999,13.975,6.9,7.075
KS Koblenz,44,38.80481338500977,38.80481338500977,60.63230895996094,94.6329574584961,44.81864547729492,6.255473613739014,1,0.8819275498390198,1,0.8819275498390198,0.0,0.0,1.6006659269332886,0.0,4,4,0,0,0,4,2021KW39,12.421,17.625,8.15,9.475
Mayen-Koblenz,65,30.262680053710934,30.262680053710934,46.45074081420898,62.629173278808594,30.785388946533203,15.45690631866455,3,1.39673912525177,2,0.9311593770980836,4.222794532775879,0.0,0.0,1.5456906557083132,0,0,0,0,0,0,2021KW39,12.421,17.625,8.15,9.475
Neuwied,87,47.50697708129883,47.50697708129883,105.7895736694336,126.05924987792969,41.04203414916992,16.225570678710938,2,1.0921143293380735,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,11.073,14.55,7.775,6.775
Rhein-Hunsruck,67,64.79627990722656,64.79627990722656,116.95906066894531,168.4810791015625,61.46989822387695,27.682086944580078,1,0.9671086072921752,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,10.938,14.8,7.1,7.7
Rhein-Lahn-Kreis,48,39.16001892089844,39.16001892089844,76.42922973632812,33.70786666870117,43.66741561889648,20.64036750793457,4,3.2633347511291504,1,0.8158336877822876,0.0,0.0,1.617311716079712,0.0,1,1,0,0,0,1,2021KW39,12.92,17.799999999999994,8.625,9.175
Westerwaldkreis,83,40.92096710205078,40.92096710205078,150.32275390625,76.48670959472656,28.477317810058594,11.829119682312012,1,0.4930237233638763,0,0.0,0.0,0.0,0.0,0.0,5,5,0,0,1,4,2021KW39,10.05,12.875,7.050000000000002,5.825
Alzey-Worms,121,92.56780242919922,92.5451431274414,263.00216674804693,259.2740478515625,70.79332733154297,18.579959869384766,8,6.118687152862549,6,4.589015483856201,0.0,9.972078323364258,5.899444103240968,2.6542799472808842,3,2,0,0,1,1,2021KW39,12.865,17.675,8.700000000000001,8.975
Bad Kreuznach,103,64.88352203369139,64.8790283203125,161.86842346191406,110.42214965820312,61.57712936401367,25.948102951049805,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,13.720999999999998,18.7,9.675,9.025
Birkenfeld,82,101.44747924804688,98.1659698486328,301.834228515625,170.8233642578125,83.09830474853516,48.78048706054688,5,5.985730171203612,2,2.394292116165161,0.0,0.0,5.036261081695557,0.0,0,0,0,0,0,0,2021KW39,11.061,15.85,7.275,8.575
Mainz-Bingen,120,56.73088455200195,56.69925308227539,89.88396453857422,108.91928100585938,67.80717468261719,9.773578643798828,1,0.4724937677383423,1,0.4724937677383423,0.0,0.0,0.9163131117820741,0.0,6,4,0,0,2,2,2021KW39,12.92,17.799999999999994,8.625,9.175
KS Mainz,175,80.59947967529297,80.53826904296875,138.31875610351562,187.4684600830078,80.53567504882812,25.760427474975586,1,0.4602186977863312,0,0.0,0.0,0.0,0.0,0.0,4,4,0,0,1,3,2021KW39,13.123,17.85,8.75,9.1
KS Worms,105,125.8102798461914,125.8102798461914,235.1257476806641,248.10047912597656,138.74673461914062,21.493358612060547,5,5.990965843200684,2,2.39638614654541,0.0,0.0,2.274536609649658,4.2986717224121085,0,0,0,0,0,0,2021KW39,13.541999999999998,18.450000000000006,9.475,8.975
Bad Durkheim,50,37.59285354614258,37.58691787719727,87.01326751708984,53.44735336303711,33.316673278808594,25.09982872009277,0,0.0,0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,1,1,2021KW39,13.952,18.7,9.7,9.0
KS Frankenthal,60,123.07691955566406,123.07691955566406,192.81332397460938,139.70382690429688,120.64666748046876,95.89041137695312,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,2021KW39,13.541999999999998,18.450000000000006,9.475,8.975
Germersheim,63,48.834938049316406,48.828125,54.0504035949707,111.59581756591795,60.27018737792969,8.259684562683105,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,11.374,15.375,7.499999999999999,7.875
KS Landau i.d.Pf.,29,62.11845397949219,62.11579132080078,124.610595703125,61.21824264526367,53.2562370300293,56.84125137329102,0,0.0,0,0.0,0.0,0.0,0.0,0.0,4,4,0,0,1,3,2021KW39,13.731,17.75,9.55,8.2
KS Ludwigshafen,164,95.0410614013672,95.03610229492188,185.86517333984372,238.2547912597656,85.02226257324219,25.596872329711914,1,0.5794884562492371,1,0.5794884562492371,0.0,7.445462226867676,0.0,0.0,1,1,0,0,1,0,2021KW39,13.905,18.575000000000006,9.725,8.85
KS Neustadt a.d.W.,35,65.65865325927734,65.65495300292969,86.91117858886719,184.01683044433597,76.08612823486328,17.17917823791504,1,1.875855803489685,1,1.875855803489685,0.0,0.0,0.0,5.72639274597168,1,1,0,0,0,1,2021KW39,11.374,15.375,7.499999999999999,7.875
Rhein-Pfalz-Kreis,95,61.38775253295898,61.38616561889648,94.00054931640624,117.93522644042969,72.9086685180664,16.854169845581055,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW39,13.952,18.7,9.7,9.0
KS Speyer,42,82.77330017089844,82.76187896728516,203.66598510742188,80.71025085449219,95.49274444580078,19.42627716064453,1,1.9705209732055664,1,1.9705209732055664,0.0,0.0,3.8197097778320312,0.0,2,2,0,0,0,2,2021KW39,14.3,19.575,10.225,9.35
Sudliche Weinstr.,65,58.67326354980469,58.67326354980469,119.47431182861328,126.90355682373048,57.3404769897461,25.43953895568848,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,2021KW39,13.952,18.7,9.7,9.0
Bernkastel-Wittlich,48,42.59661865234375,41.99217987060547,40.93663024902344,121.55098724365234,49.1210823059082,14.187617301940918,1,0.8748370409011841,1,0.8748370409011841,0.0,0.0,1.754324436187744,0.0,0,0,0,0,0,0,2021KW39,11.856,16.275,7.95,8.325
Bitburg-Prum,40,39.97801208496094,38.65892028808594,88.08244323730469,67.01514434814453,36.2187614440918,20.846363067626953,1,0.9664730429649352,1,0.9664730429649352,0.0,0.0,0.0,3.474393606185913,1,1,0,0,0,1,2021KW39,11.856,16.275,7.95,8.325
Trier-Saarburg,43,28.56516456604004,28.53710746765137,35.28581619262695,69.31208038330078,29.25352668762207,13.8363618850708,1,0.6636536717414856,1,0.6636536717414856,0.0,0.0,0.0,2.306060314178467,1,1,0,0,1,0,2021KW39,11.856,16.275,7.95,8.325
KS Trier,41,37.04573822021485,37.03034591674805,54.96015548706055,80.8298568725586,35.01987075805664,22.50815963745117,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,3,0,0,0,3,2021KW39,11.856,16.275,7.95,8.325
Vulkaneifel,16,26.45021629333496,26.44365882873535,16.73640251159668,92.69988250732422,33.370040893554695,4.942176342010498,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2021KW39,10.427999999999999,13.975,6.9,7.075
