Origin,Destination,Distance
Ahrweiler,Altenkirchen,56.16565974699578
Ahrweiler,Alzey-Worms,111.4794997937789
Ahrweiler,Bad Durkheim,134.0613539344816
Ahrweiler,Bad Kreuznach,91.56439548530358
Ahrweiler,Bernkastel-Wittlich,56.948501573034505
Ahrweiler,Birkenfeld,82.21969626512374
Ahrweiler,Bitburg-Prum,62.23573376623436
Ahrweiler,Cochem-Zell,35.75086525893013
Ahrweiler,Donnersbergkreis,109.88376063015616
Ahrweiler,Germersheim,166.86941926389318
Ahrweiler,Kaiserslautern,122.25514835342896
Ahrweiler,Kusel,103.51893100540654
Ahrweiler,Mainz-Bingen,98.91108708298032
Ahrweiler,Mayen-Koblenz,25.215453539233355
Ahrweiler,Neuwied,35.91868471181784
Ahrweiler,Rhein-Hunsruck,57.92731773708923
Ahrweiler,Rhein-Lahn-Kreis,63.377881077077184
Ahrweiler,Rhein-Pfalz-Kreis,145.73068843673497
Ahrweiler,Sudliche Weinstr.,129.76948781637492
Ahrweiler,Sudwestpfalz,142.61507362360285
Ahrweiler,Trier-Saarburg,85.24980290839441
Ahrweiler,Vulkaneifel,26.80345888727102
Ahrweiler,Westerwaldkreis,62.45921067759988
Ahrweiler,KS Frankenthal,139.25511406397837
Ahrweiler,KS Kaiserslautern,122.25514835342896
Ahrweiler,KS Koblenz,43.13074704520908
Ahrweiler,KS Landau i.d.Pf.,158.05020142750945
Ahrweiler,KS Ludwigshafen,148.0843616584537
Ahrweiler,KS Mainz,102.3780184067094
Ahrweiler,KS Neustadt a.d.W.,144.98207568315485
Ahrweiler,KS Pirmasens,144.30583807406663
Ahrweiler,KS Speyer,160.17217248262074
Ahrweiler,KS Trier,81.4232194442308
Ahrweiler,KS Worms,131.41419369174045
Ahrweiler,KS Zweibrucken,134.86752566375407
Altenkirchen,Ahrweiler,56.16565974699578
Altenkirchen,Alzey-Worms,111.71405109930141
Altenkirchen,Bad Durkheim,139.9790962960921
Altenkirchen,Bad Kreuznach,98.81885471797553
Altenkirchen,Bernkastel-Wittlich,101.51420829573105
Altenkirchen,Birkenfeld,113.9423939296444
Altenkirchen,Bitburg-Prum,117.6636105514614
Altenkirchen,Cochem-Zell,72.33681308876189
Altenkirchen,Donnersbergkreis,120.14722919017487
Altenkirchen,Germersheim,172.7603043945989
Altenkirchen,Kaiserslautern,140.240065783819
Altenkirchen,Kusel,128.71297859654993
Altenkirchen,Mainz-Bingen,95.1651214652145
Altenkirchen,Mayen-Koblenz,49.38261582124323
Altenkirchen,Neuwied,21.877700407905884
Altenkirchen,Rhein-Hunsruck,77.93428851519741
Altenkirchen,Rhein-Lahn-Kreis,50.584258158185264
Altenkirchen,Rhein-Pfalz-Kreis,147.8964640522101
Altenkirchen,Sudliche Weinstr.,138.39800283339906
Altenkirchen,Sudwestpfalz,165.78616843342607
Altenkirchen,Trier-Saarburg,132.34612512777747
Altenkirchen,Vulkaneifel,81.45886951017832
Altenkirchen,Westerwaldkreis,21.426941450982095
Altenkirchen,KS Frankenthal,138.92704697434246
Altenkirchen,KS Kaiserslautern,140.240065783819
Altenkirchen,KS Koblenz,40.44586439682319
Altenkirchen,KS Landau i.d.Pf.,169.67062537311278
Altenkirchen,KS Ludwigshafen,147.2235358663117
Altenkirchen,KS Mainz,89.4445162384904
Altenkirchen,KS Neustadt a.d.W.,153.73321643468554
Altenkirchen,KS Pirmasens,168.05262172619632
Altenkirchen,KS Speyer,162.63290850514107
Altenkirchen,KS Trier,130.44226699574915
Altenkirchen,KS Worms,128.5483913696084
Altenkirchen,KS Zweibrucken,163.90855325220355
Alzey-Worms,Ahrweiler,111.4794997937789
Alzey-Worms,Altenkirchen,111.71405109930141
Alzey-Worms,Bad Durkheim,28.953739657965016
Alzey-Worms,Bad Kreuznach,21.381457219514488
Alzey-Worms,Bernkastel-Wittlich,88.61035589044774
Alzey-Worms,Birkenfeld,62.80583351075393
Alzey-Worms,Bitburg-Prum,129.11269080255227
Alzey-Worms,Cochem-Zell,80.81623779427565
Alzey-Worms,Donnersbergkreis,20.61669286495079
Alzey-Worms,Germersheim,61.063492140440786
Alzey-Worms,Kaiserslautern,43.682160112451584
Alzey-Worms,Kusel,52.131869648273685
Alzey-Worms,Mainz-Bingen,16.82292501724246
Alzey-Worms,Mayen-Koblenz,87.24887610312615
Alzey-Worms,Neuwied,101.69634185277481
Alzey-Worms,Rhein-Hunsruck,55.53354143692141
Alzey-Worms,Rhein-Lahn-Kreis,61.22246606128396
Alzey-Worms,Rhein-Pfalz-Kreis,36.36401184690634
Alzey-Worms,Sudliche Weinstr.,29.489780795427908
Alzey-Worms,Sudwestpfalz,69.95899040925923
Alzey-Worms,Trier-Saarburg,103.97680594797441
Alzey-Worms,Vulkaneifel,110.46152729556005
Alzey-Worms,Westerwaldkreis,92.14079835769334
Alzey-Worms,KS Frankenthal,28.24870713874444
Alzey-Worms,KS Kaiserslautern,43.682160112451584
Alzey-Worms,KS Koblenz,77.13417736071828
Alzey-Worms,KS Landau i.d.Pf.,60.09760637083984
Alzey-Worms,KS Ludwigshafen,37.03793481914016
Alzey-Worms,KS Mainz,29.33481162622549
Alzey-Worms,KS Neustadt a.d.W.,43.37598557399715
Alzey-Worms,KS Pirmasens,72.61785334291119
Alzey-Worms,KS Speyer,51.21135563852813
Alzey-Worms,KS Trier,108.81910423002793
Alzey-Worms,KS Worms,20.040556339328184
Alzey-Worms,KS Zweibrucken,78.76096710138094
Bad Durkheim,Ahrweiler,134.0613539344816
Bad Durkheim,Altenkirchen,139.9790962960921
Bad Durkheim,Alzey-Worms,28.953739657965016
Bad Durkheim,Bad Kreuznach,43.225193823967786
Bad Durkheim,Bernkastel-Wittlich,100.68518854217776
Bad Durkheim,Birkenfeld,69.22946520130542
Bad Durkheim,Bitburg-Prum,140.77885145505573
Bad Durkheim,Cochem-Zell,100.49916730139753
Bad Durkheim,Donnersbergkreis,24.60481486033299
Bad Durkheim,Germersheim,33.35911747142129
Bad Durkheim,Kaiserslautern,30.048251455392275
Bad Durkheim,Kusel,49.843360166283766
Bad Durkheim,Mainz-Bingen,45.74396456112842
Bad Durkheim,Mayen-Koblenz,111.21821210966155
Bad Durkheim,Neuwied,128.60301519773827
Bad Durkheim,Rhein-Hunsruck,76.19588058790028
Bad Durkheim,Rhein-Lahn-Kreis,89.39599666799467
Bad Durkheim,Rhein-Pfalz-Kreis,13.784184060511354
Bad Durkheim,Sudliche Weinstr.,7.245131004223565
Bad Durkheim,Sudwestpfalz,49.404200836577104
Bad Durkheim,Trier-Saarburg,108.10383848860232
Bad Durkheim,Vulkaneifel,128.52480225795247
Bad Durkheim,Westerwaldkreis,120.81596560730586
Bad Durkheim,KS Frankenthal,15.513808374331402
Bad Durkheim,KS Kaiserslautern,30.048251455392275
Bad Durkheim,KS Koblenz,103.76503648257263
Bad Durkheim,KS Landau i.d.Pf.,31.351812836092325
Bad Durkheim,KS Ludwigshafen,20.318884335110123
Bad Durkheim,KS Mainz,57.27566189715369
Bad Durkheim,KS Neustadt a.d.W.,14.530956372994297
Bad Durkheim,KS Pirmasens,51.92388643401855
Bad Durkheim,KS Speyer,26.468242133310238
Bad Durkheim,KS Trier,114.27370925135378
Bad Durkheim,KS Worms,22.08283036469219
Bad Durkheim,KS Zweibrucken,63.280752406624885
Bad Kreuznach,Ahrweiler,91.56439548530358
Bad Kreuznach,Altenkirchen,98.81885471797553
Bad Kreuznach,Alzey-Worms,21.381457219514488
Bad Kreuznach,Bad Durkheim,43.225193823967786
Bad Kreuznach,Bernkastel-Wittlich,67.76148973005692
Bad Kreuznach,Birkenfeld,44.91615042950014
Bad Kreuznach,Bitburg-Prum,108.08679945899877
Bad Kreuznach,Cochem-Zell,59.726309217231936
Bad Kreuznach,Donnersbergkreis,21.328375580503398
Bad Kreuznach,Germersheim,76.5590994791655
Bad Kreuznach,Kaiserslautern,43.14400441303773
Bad Kreuznach,Kusel,41.152703201122485
Bad Kreuznach,Mainz-Bingen,18.9303477490425
Bad Kreuznach,Mayen-Koblenz,68.1379377656795
Bad Kreuznach,Neuwied,85.84224545708744
Bad Kreuznach,Rhein-Hunsruck,34.51341014654654
Bad Kreuznach,Rhein-Lahn-Kreis,48.946451879244734
Bad Kreuznach,Rhein-Pfalz-Kreis,54.209943222188265
Bad Kreuznach,Sudliche Weinstr.,40.22691378728486
Bad Kreuznach,Sudwestpfalz,70.21693128258369
Bad Kreuznach,Trier-Saarburg,85.52242017999792
Bad Kreuznach,Vulkaneifel,89.1968239320677
Bad Kreuznach,Westerwaldkreis,81.19995678160103
Bad Kreuznach,KS Frankenthal,47.860936907173155
Bad Kreuznach,KS Kaiserslautern,43.14400441303773
Bad Kreuznach,KS Koblenz,60.981809292568514
Bad Kreuznach,KS Landau i.d.Pf.,71.1121404930208
Bad Kreuznach,KS Ludwigshafen,56.65108286037997
Bad Kreuznach,KS Mainz,34.39299586845499
Bad Kreuznach,KS Neustadt a.d.W.,55.79953383141929
Bad Kreuznach,KS Pirmasens,72.74502518797807
Bad Kreuznach,KS Speyer,68.79372725019063
Bad Kreuznach,KS Trier,89.73059476531273
Bad Kreuznach,KS Worms,41.162290307109274
Bad Kreuznach,KS Zweibrucken,73.96490771220408
Bernkastel-Wittlich,Ahrweiler,56.948501573034505
Bernkastel-Wittlich,Altenkirchen,101.51420829573105
Bernkastel-Wittlich,Alzey-Worms,88.61035589044774
Bernkastel-Wittlich,Bad Durkheim,100.68518854217776
Bernkastel-Wittlich,Bad Kreuznach,67.76148973005692
Bernkastel-Wittlich,Birkenfeld,33.30775044242578
Bernkastel-Wittlich,Bitburg-Prum,40.614394712097265
Bernkastel-Wittlich,Cochem-Zell,29.43478495156364
Bernkastel-Wittlich,Donnersbergkreis,76.94109731064917
Bernkastel-Wittlich,Germersheim,129.54759115784995
Bernkastel-Wittlich,Kaiserslautern,79.15802361453069
Bernkastel-Wittlich,Kusel,56.64189324691576
Bernkastel-Wittlich,Mainz-Bingen,84.09719974045672
Bernkastel-Wittlich,Mayen-Koblenz,52.13282570693185
Bernkastel-Wittlich,Neuwied,79.96512860480527
Bernkastel-Wittlich,Rhein-Hunsruck,40.703202061040095
Bernkastel-Wittlich,Rhein-Lahn-Kreis,75.91317421409332
Bernkastel-Wittlich,Rhein-Pfalz-Kreis,114.25501892612496
Bernkastel-Wittlich,Sudliche Weinstr.,94.44722836169166
Bernkastel-Wittlich,Sudwestpfalz,93.02905533017763
Bernkastel-Wittlich,Trier-Saarburg,30.867185770679757
Bernkastel-Wittlich,Vulkaneifel,35.90777151408631
Bernkastel-Wittlich,Westerwaldkreis,96.49459922618068
Bernkastel-Wittlich,KS Frankenthal,111.17538890339794
Bernkastel-Wittlich,KS Kaiserslautern,79.15802361453069
Bernkastel-Wittlich,KS Koblenz,66.39691152865774
Bernkastel-Wittlich,KS Landau i.d.Pf.,116.50843497096106
Bernkastel-Wittlich,KS Ludwigshafen,119.21261079225435
Bernkastel-Wittlich,KS Mainz,95.7403920149592
Bernkastel-Wittlich,KS Neustadt a.d.W.,107.37682876398345
Bernkastel-Wittlich,KS Pirmasens,94.18801871335296
Bernkastel-Wittlich,KS Speyer,126.64785268566455
Bernkastel-Wittlich,KS Trier,29.968082859113835
Bernkastel-Wittlich,KS Worms,107.22564087834725
