Origin,Destination,Distance
Ahrweiler,Mayen-Koblenz,25.215453539233355
Altenkirchen,Westerwaldkreis,21.426941450982095
Alzey-Worms,Mainz-Bingen,16.82292501724246
Bad Durkheim,Sudliche Weinstr.,7.245131004223565
Bad Kreuznach,Mainz-Bingen,18.9303477490425
Bernkastel-Wittlich,Cochem-Zell,29.43478495156364
Birkenfeld,Kusel,23.382806356748443
Bitburg-Prum,Vulkaneifel,36.22932745521284
Cochem-Zell,Mayen-Koblenz,23.079993958492185
Donnersbergkreis,Sudliche Weinstr.,19.901545070173697
Germersheim,KS Speyer,13.251746452072183
Kaiserslautern,KS Kaiserslautern,0.0
Kusel,Kaiserslautern,23.067415520129458
Kusel,KS Kaiserslautern,23.067415520129458
Mainz-Bingen,KS Mainz,15.986896588489559
Mayen-Koblenz,KS Koblenz,20.05663398476455
Neuwied,Altenkirchen,21.877700407905884
Rhein-Hunsruck,Cochem-Zell,25.283377413320903
Rhein-Lahn-Kreis,KS Koblenz,20.547664851215938
Rhein-Pfalz-Kreis,KS Ludwigshafen,7.979851534472228
Sudliche Weinstr.,Bad Durkheim,7.245131004223565
Sudwestpfalz,KS Pirmasens,2.65914461243645
Trier-Saarburg,KS Trier,7.510110003144791
Vulkaneifel,Ahrweiler,26.80345888727102
Westerwaldkreis,Altenkirchen,21.426941450982095
KS Frankenthal,KS Ludwigshafen,8.837348512671651
KS Kaiserslautern,Kaiserslautern,0.0
KS Koblenz,Mayen-Koblenz,20.05663398476455
KS Landau i.d.Pf.,KS Neustadt a.d.W.,16.82446084825764
KS Ludwigshafen,Rhein-Pfalz-Kreis,7.979851534472228
KS Mainz,Mainz-Bingen,15.986896588489559
KS Neustadt a.d.W.,Bad Durkheim,14.530956372994297
KS Pirmasens,Sudwestpfalz,2.65914461243645
KS Speyer,Germersheim,13.251746452072183
KS Trier,Trier-Saarburg,7.510110003144791
KS Worms,KS Frankenthal,11.12211526225472
KS Zweibrucken,KS Pirmasens,17.6522914398846
