District Name,Current Date,timestamp,source_id,precipitation,pressure_msl,sunshine,temperature,wind_direction,wind_speed,cloud_cover,dew_point,relative_humidity,visibility,wind_gust_direction,wind_gust_speed,condition,fallback_source_ids,icon
Ahrweiler,2022-05-06,2022-05-06T00:00:00+00:00,7142,0.0,1025.2,,9.8,200,4.0,0,6.2,78,20100,,7.6,dry,"{'visibility': 46588, 'wind_gust_speed': 46588, 'wind_speed': 46588, 'cloud_cover': 46588, 'pressure_msl': 46588, 'wind_direction': 46588}",clear-night
Ahrweiler,2022-05-06,2022-05-06T01:00:00+00:00,7142,0.0,1025.4,,8.8,270,2.9,0,6.0,83,17480,,5.4,dry,"{'visibility': 46588, 'wind_gust_speed': 46588, 'wind_speed': 46588, 'cloud_cover': 46588, 'pressure_msl': 46588, 'wind_direction': 46588}",clear-night
Ahrweiler,2022-05-06,2022-05-06T02:00:00+00:00,7142,0.0,1025.59,,8.4,260,3.6,0,5.8,83,13270,,6.1,dry,"{'visibility': 46588, 'wind_gust_speed': 46588, 'wind_speed': 46588, 'cloud_cover': 46588, 'pressure_msl': 46588, 'wind_direction': 46588}",clear-night
Ahrweiler,2022-05-06,2022-05-06T03:00:00+00:00,7142,0.0,1025.7,,7.9,240,4.3,0,5.5,85,10670,,7.2,dry,"{'visibility': 46588, 'wind_gust_speed': 46588, 'wind_speed': 46588, 'cloud_cover': 46588, 'pressure_msl': 46588, 'wind_direction': 46588}",clear-night
Ahrweiler,2022-05-06,2022-05-06T04:00:00+00:00,7142,0.0,1025.59,,7.5,220,3.6,0,5.3,86,11660,,5.8,dry,"{'visibility': 46588, 'wind_gust_speed': 46588, 'wind_speed': 46588, 'cloud_cover': 46588, 'pressure_msl': 46588, 'wind_direction': 46588}",clear-day
Ahrweiler,2022-05-06,2022-05-06T05:00:00+00:00,7142,0.0,1026.09,,7.8,230,4.3,0,5.1,83,9780,,6.8,dry,"{'visibility': 46588, 'wind_gust_speed': 46588, 'wind_speed': 46588, 'cloud_cover': 46588, 'pressure_msl': 46588, 'wind_direction': 46588}",clear-day
Ahrweiler,2022-05-06,2022-05-06T06:00:00+00:00,7142,0.0,1026.2,,9.2,210,2.5,0,5.5,78,7980,,4.3,dry,"{'visibility': 46588, 'wind_gust_speed': 46588, 'wind_speed': 46588, 'cloud_cover': 46588, 'pressure_msl': 46588, 'wind_direction': 46588}",clear-day
Ahrweiler,2022-05-06,2022-05-06T07:00:00+00:00,7142,0.0,1026.0,,11.8,340,1.8,0,7.0,72,13480,,5.0,dry,"{'visibility': 46588, 'wind_gust_speed': 46588, 'wind_speed': 46588, 'cloud_cover': 46588, 'pressure_msl': 46588, 'wind_direction': 46588}",clear-day
Ahrweiler,2022-05-06,2022-05-06T08:00:00+00:00,7142,0.0,1025.5,,15.4,330,3.6,25,8.7,64,20950,,9.0,dry,"{'visibility': 46588, 'wind_gust_speed': 46588, 'wind_speed': 46588, 'cloud_cover': 46588, 'pressure_msl': 46588, 'wind_direction': 46588}",partly-cloudy-day
Ahrweiler,2022-05-06,2022-05-06T09:00:00+00:00,7142,0.0,1025.3,,17.5,30,10.4,0,8.3,55,39950,,25.9,dry,"{'visibility': 46588, 'wind_gust_speed': 46588, 'wind_speed': 46588, 'cloud_cover': 46588, 'pressure_msl': 46588, 'wind_direction': 46588}",clear-day
