,CorrelationMethod,Season,Covid_Column,Weather_Column,Correlation,Significance_value,Significance
0,Kendall-Tau,Autumn,PCR_Postive_Count,temperature,-0.2884,4.6803613106611594e-05,True
1,Kendall-Tau,Autumn,PCR_Postive_Count,wind_speed,0.0222,0.7537672355675,False
2,Kendall-Tau,Autumn,PCR_Postive_Count,relative_humidity,0.158,0.0257833391281411,True
3,Kendall-Tau,Autumn,PCR_Positive_Hospitalised,temperature,-0.2086,0.003508869260691026,True
4,Kendall-Tau,Autumn,PCR_Positive_Hospitalised,wind_speed,0.0258,0.7180185674800574,False
5,Kendall-Tau,Autumn,PCR_Positive_Hospitalised,relative_humidity,0.0967,0.17595597091262172,False
6,Kendall-Tau,Autumn,Deceased,temperature,-0.3282,9.956352648344096e-06,True
7,Kendall-Tau,Autumn,Deceased,wind_speed,-0.0111,0.8809486420791498,False
8,Kendall-Tau,Autumn,Deceased,relative_humidity,0.2736,0.00023059512285053728,True
9,Kendall-Tau,Autumn,Current_Infected,temperature,-0.1921,0.0066932654670033235,True
10,Kendall-Tau,Autumn,Current_Infected,wind_speed,-0.0769,0.2774604203382246,False
11,Kendall-Tau,Autumn,Current_Infected,relative_humidity,0.1022,0.14886309214543825,False
12,Kendall-Tau,Autumn,Total_Confirmed,temperature,-0.7649,3.452947931100108e-27,True
13,Kendall-Tau,Autumn,Total_Confirmed,wind_speed,0.1022,0.14886309214543825,False
14,Kendall-Tau,Autumn,Total_Confirmed,relative_humidity,0.4974,2.184453035072815e-12,True
15,Spearmann,Autumn,PCR_Postive_Count,temperature,-0.4444,9.074306562552404e-06,True
16,Spearmann,Autumn,PCR_Postive_Count,wind_speed,0.038,0.7192906373028389,False
17,Spearmann,Autumn,PCR_Postive_Count,relative_humidity,0.2583,0.012919497488251015,True
18,Spearmann,Autumn,PCR_Positive_Hospitalised,temperature,-0.308,0.0028178238846468303,True
19,Spearmann,Autumn,PCR_Positive_Hospitalised,wind_speed,0.0428,0.6852134446584242,False
20,Spearmann,Autumn,PCR_Positive_Hospitalised,relative_humidity,0.149,0.1564349271050285,False
21,Spearmann,Autumn,Deceased,temperature,-0.4421,1.0226588108770659e-05,True
22,Spearmann,Autumn,Deceased,wind_speed,-0.0176,0.8673876192329841,False
23,Spearmann,Autumn,Deceased,relative_humidity,0.3768,0.00021337486128127965,True
24,Spearmann,Autumn,Current_Infected,temperature,-0.3334,0.0011651930672682768,True
25,Spearmann,Autumn,Current_Infected,wind_speed,-0.1055,0.3170375230751276,False
26,Spearmann,Autumn,Current_Infected,relative_humidity,0.1515,0.14940459869062941,False
27,Spearmann,Autumn,Total_Confirmed,temperature,-0.9263,6.327653270376245e-40,True
28,Spearmann,Autumn,Total_Confirmed,wind_speed,0.1543,0.14184696653581017,False
29,Spearmann,Autumn,Total_Confirmed,relative_humidity,0.7082,2.9094729927417214e-15,True
