,CorrelationMethod,Season,Covid_Column,Weather_Column,Correlation,Significance_value,Significance
0,Kendall-Tau,Spring,PCR_Postive_Count,temperature,-0.1951,0.009949029767871818,True
1,Kendall-Tau,Spring,PCR_Postive_Count,wind_speed,-0.1173,0.12118466227395273,False
2,Kendall-Tau,Spring,PCR_Postive_Count,relative_humidity,-0.0093,0.9026184842669911,False
3,Kendall-Tau,Spring,PCR_Positive_Hospitalised,temperature,-0.0851,0.2619786933443322,False
4,Kendall-Tau,Spring,PCR_Positive_Hospitalised,wind_speed,-0.0801,0.29075695176503813,False
5,Kendall-Tau,Spring,PCR_Positive_Hospitalised,relative_humidity,0.0727,0.3377772327516315,False
6,Kendall-Tau,Spring,Deceased,temperature,0.0382,0.6233790690375631,False
7,Kendall-Tau,Spring,Deceased,wind_speed,-0.0248,0.7495797535061923,False
8,Kendall-Tau,Spring,Deceased,relative_humidity,0.07,0.36796621887222547,False
9,Kendall-Tau,Spring,Current_Infected,temperature,-0.3506,3.6028295482950513e-06,True
10,Kendall-Tau,Spring,Current_Infected,wind_speed,0.0475,0.529955067239827,False
11,Kendall-Tau,Spring,Current_Infected,relative_humidity,-0.0037,0.9609664116064394,False
12,Kendall-Tau,Spring,Total_Confirmed,temperature,0.6296,8.800092332859709e-17,True
13,Kendall-Tau,Spring,Total_Confirmed,wind_speed,0.0525,0.4881030381347151,False
14,Kendall-Tau,Spring,Total_Confirmed,relative_humidity,0.1457,0.05422837184390065,False
15,Spearmann,Spring,PCR_Postive_Count,temperature,-0.2981,0.006869279567062225,True
16,Spearmann,Spring,PCR_Postive_Count,wind_speed,-0.1667,0.13679286267069996,False
17,Spearmann,Spring,PCR_Postive_Count,relative_humidity,-0.0045,0.9679980309863053,False
18,Spearmann,Spring,PCR_Positive_Hospitalised,temperature,-0.139,0.21570801150766897,False
19,Spearmann,Spring,PCR_Positive_Hospitalised,wind_speed,-0.114,0.310830397574845,False
20,Spearmann,Spring,PCR_Positive_Hospitalised,relative_humidity,0.1072,0.3407996527504831,False
21,Spearmann,Spring,Deceased,temperature,0.0661,0.5574631239632986,False
22,Spearmann,Spring,Deceased,wind_speed,-0.0364,0.7470045380289472,False
23,Spearmann,Spring,Deceased,relative_humidity,0.0973,0.3875039878303509,False
24,Spearmann,Spring,Current_Infected,temperature,-0.5275,4.20427132923745e-07,True
25,Spearmann,Spring,Current_Infected,wind_speed,0.0773,0.4926206951228077,False
26,Spearmann,Spring,Current_Infected,relative_humidity,0.0199,0.8597443597155906,False
27,Spearmann,Spring,Total_Confirmed,temperature,0.8174,1.2979425350081295e-20,True
28,Spearmann,Spring,Total_Confirmed,wind_speed,0.0822,0.46565041419169206,False
29,Spearmann,Spring,Total_Confirmed,relative_humidity,0.2584,0.0198723690378651,True
