,CorrelationMethod,Season,Covid_Column,Weather_Column,Correlation,Significance_value,Significance
0,Kendall-Tau,Summer,PCR_Postive_Count,temperature,0.3744,0.0006686965284018482,True
1,Kendall-Tau,Summer,PCR_Postive_Count,wind_speed,-0.0385,0.726690674333039,False
2,Kendall-Tau,Summer,PCR_Postive_Count,relative_humidity,-0.3051,0.005555129960336409,True
3,Kendall-Tau,Summer,PCR_Positive_Hospitalised,temperature,0.2725,0.013485258844759304,True
4,Kendall-Tau,Summer,PCR_Positive_Hospitalised,wind_speed,0.108,0.32760334210989583,False
5,Kendall-Tau,Summer,PCR_Positive_Hospitalised,relative_humidity,-0.162,0.14198770804874977,False
6,Kendall-Tau,Summer,Deceased,temperature,0.2346,0.04142513886124564,True
7,Kendall-Tau,Summer,Deceased,wind_speed,0.0502,0.6627351181331842,False
8,Kendall-Tau,Summer,Deceased,relative_humidity,-0.2319,0.04383404447617541,True
9,Kendall-Tau,Summer,Current_Infected,temperature,0.4,0.0002778482729393956,True
10,Kendall-Tau,Summer,Current_Infected,wind_speed,0.1205,0.2734302307898985,False
11,Kendall-Tau,Summer,Current_Infected,relative_humidity,-0.2795,0.01108760731358835,True
12,Kendall-Tau,Summer,Total_Confirmed,temperature,0.4103,0.00019275205832608834,True
13,Kendall-Tau,Summer,Total_Confirmed,wind_speed,0.1256,0.2535365857265022,False
14,Kendall-Tau,Summer,Total_Confirmed,relative_humidity,-0.2949,0.007367981559899911,True
15,Spearmann,Summer,PCR_Postive_Count,temperature,0.5334,0.00039401263284700614,True
16,Spearmann,Summer,PCR_Postive_Count,wind_speed,-0.0578,0.7232050507011731,False
17,Spearmann,Summer,PCR_Postive_Count,relative_humidity,-0.4251,0.0062447095173123164,True
18,Spearmann,Summer,PCR_Positive_Hospitalised,temperature,0.3959,0.011435975410152182,True
19,Spearmann,Summer,PCR_Positive_Hospitalised,wind_speed,0.1157,0.4771682069212455,False
20,Spearmann,Summer,PCR_Positive_Hospitalised,relative_humidity,-0.2271,0.1588370059114956,False
21,Spearmann,Summer,Deceased,temperature,0.3349,0.03466623823015025,True
22,Spearmann,Summer,Deceased,wind_speed,0.0657,0.6872492697811204,False
23,Spearmann,Summer,Deceased,relative_humidity,-0.3251,0.040654781651661066,True
24,Spearmann,Summer,Current_Infected,temperature,0.5668,0.00013728538161741062,True
25,Spearmann,Summer,Current_Infected,wind_speed,0.1927,0.23357791572348843,False
26,Spearmann,Summer,Current_Infected,relative_humidity,-0.3998,0.010586758980866483,True
27,Spearmann,Summer,Total_Confirmed,temperature,0.5841,7.605176486851997e-05,True
28,Spearmann,Summer,Total_Confirmed,wind_speed,0.1987,0.2190507762640555,False
29,Spearmann,Summer,Total_Confirmed,relative_humidity,-0.4062,0.009303052939841747,True
