,CorrelationMethod,Season,Covid_Column,Weather_Column,Correlation,Significance_value,Significance
0,Kendall-Tau,Lowest_Summer_week,Current_Infected,temperature,0.7143,0.014136904761904762,True
1,Kendall-Tau,Lowest_Summer_week,Current_Infected_lag_-1,temperature,0.5714,0.06101190476190476,False
2,Kendall-Tau,Lowest_Summer_week,Current_Infected_lag_-2,temperature,0.7143,0.014136904761904762,True
3,Kendall-Tau,Lowest_Summer_week,Current_Infected_lag_-3,temperature,0.7143,0.014136904761904762,True
4,Kendall-Tau,Lowest_Summer_week,Current_Infected_lag_-4,temperature,0.6429,0.03115079365079365,True
5,Kendall-Tau,Lowest_Summer_week,Current_Infected_lag_-5,temperature,0.6429,0.03115079365079365,True
6,Kendall-Tau,Lowest_Summer_week,Current_Infected_lag_-6,temperature,0.6429,0.03115079365079365,True
7,Kendall-Tau,Lowest_Summer_week,Current_Infected_lag_-7,temperature,0.6429,0.03115079365079365,True
8,Spearmann,Lowest_Summer_week,Current_Infected,temperature,0.881,0.0038503204637324114,True
9,Spearmann,Lowest_Summer_week,Current_Infected_lag_-1,temperature,0.7619,0.02800493915307187,True
10,Spearmann,Lowest_Summer_week,Current_Infected_lag_-2,temperature,0.881,0.0038503204637324114,True
11,Spearmann,Lowest_Summer_week,Current_Infected_lag_-3,temperature,0.881,0.0038503204637324114,True
12,Spearmann,Lowest_Summer_week,Current_Infected_lag_-4,temperature,0.8571,0.006530017254715304,True
13,Spearmann,Lowest_Summer_week,Current_Infected_lag_-5,temperature,0.8571,0.006530017254715304,True
14,Spearmann,Lowest_Summer_week,Current_Infected_lag_-6,temperature,0.8571,0.006530017254715304,True
15,Spearmann,Lowest_Summer_week,Current_Infected_lag_-7,temperature,0.8571,0.006530017254715304,True
