,CorrelationMethod,Season,Covid_Column,Weather_Column,Correlation,Significance_value,Significance
0,Kendall-Tau,Winter,PCR_Postive_Count,temperature,0.0372,0.603549822487514,False
1,Kendall-Tau,Winter,PCR_Postive_Count,wind_speed,0.1905,0.007831553840657321,True
2,Kendall-Tau,Winter,PCR_Postive_Count,relative_humidity,-0.3508,9.742057179965436e-07,True
3,Kendall-Tau,Winter,PCR_Positive_Hospitalised,temperature,0.0843,0.24144267748401438,False
4,Kendall-Tau,Winter,PCR_Positive_Hospitalised,wind_speed,0.0738,0.30537975757317903,False
5,Kendall-Tau,Winter,PCR_Positive_Hospitalised,relative_humidity,-0.1771,0.013843060890777336,True
6,Kendall-Tau,Winter,Deceased,temperature,0.0202,0.784802657727922,False
7,Kendall-Tau,Winter,Deceased,wind_speed,-0.001,0.9888272901280207,False
8,Kendall-Tau,Winter,Deceased,relative_humidity,0.0305,0.679533715652298,False
9,Kendall-Tau,Winter,Current_Infected,temperature,0.1251,0.08079166023693687,False
10,Kendall-Tau,Winter,Current_Infected,wind_speed,0.1805,0.011740923063872033,True
11,Kendall-Tau,Winter,Current_Infected,relative_humidity,-0.4577,1.6755794750688658e-10,True
12,Kendall-Tau,Winter,Total_Confirmed,temperature,0.1316,0.06625012275500324,False
13,Kendall-Tau,Winter,Total_Confirmed,wind_speed,0.2509,0.00046060622632305504,True
14,Kendall-Tau,Winter,Total_Confirmed,relative_humidity,-0.4871,1.0481846271164802e-11,True
15,Spearmann,Winter,PCR_Postive_Count,temperature,0.0592,0.5793459154268482,False
16,Spearmann,Winter,PCR_Postive_Count,wind_speed,0.2986,0.004256557064804774,True
17,Spearmann,Winter,PCR_Postive_Count,relative_humidity,-0.524,1.157446458823368e-07,True
18,Spearmann,Winter,PCR_Positive_Hospitalised,temperature,0.1314,0.21712061610274735,False
19,Spearmann,Winter,PCR_Positive_Hospitalised,wind_speed,0.1257,0.2378058702810927,False
20,Spearmann,Winter,PCR_Positive_Hospitalised,relative_humidity,-0.2563,0.014766503684358718,True
21,Spearmann,Winter,Deceased,temperature,0.0307,0.7739136433940089,False
22,Spearmann,Winter,Deceased,wind_speed,-0.0018,0.9866157865751581,False
23,Spearmann,Winter,Deceased,relative_humidity,0.0465,0.6634470331298054,False
24,Spearmann,Winter,Current_Infected,temperature,0.1394,0.18995959818708547,False
25,Spearmann,Winter,Current_Infected,wind_speed,0.2721,0.009468146027510487,True
26,Spearmann,Winter,Current_Infected,relative_humidity,-0.646,6.198895095559201e-12,True
27,Spearmann,Winter,Total_Confirmed,temperature,0.1805,0.08868633305600461,False
28,Spearmann,Winter,Total_Confirmed,wind_speed,0.3711,0.00031763279409720876,True
29,Spearmann,Winter,Total_Confirmed,relative_humidity,-0.6832,1.1783371688914752e-13,True
