,CorrelationMethod,Season,Covid_Column,Weather_Column,Correlation,Significance_value,Significance
0,Kendall-Tau,Lowest_Winter_week,Current_Infected,temperature,0.2747,0.1925076217598539,False
1,Kendall-Tau,Lowest_Winter_week,Current_Infected_lag_-1,temperature,0.2308,0.2791797743335442,False
2,Kendall-Tau,Lowest_Winter_week,Current_Infected_lag_-2,temperature,-0.1868,0.3879883441211566,False
3,Kendall-Tau,Lowest_Winter_week,Current_Infected_lag_-3,temperature,-0.4945,0.013837794930304851,True
4,Kendall-Tau,Lowest_Winter_week,Current_Infected_lag_-4,temperature,-0.5604,0.004565983394728434,True
5,Kendall-Tau,Lowest_Winter_week,Current_Infected_lag_-5,temperature,-0.3626,0.07945689917354104,False
6,Kendall-Tau,Lowest_Winter_week,Current_Infected_lag_-6,temperature,-0.2088,0.3308114209974329,False
7,Kendall-Tau,Lowest_Winter_week,Current_Infected_lag_-7,temperature,-0.3846,0.061658178659046714,False
8,Spearmann,Lowest_Winter_week,Current_Infected,temperature,0.3714,0.1910208120436164,False
9,Spearmann,Lowest_Winter_week,Current_Infected_lag_-1,temperature,0.2703,0.34991938634960407,False
10,Spearmann,Lowest_Winter_week,Current_Infected_lag_-2,temperature,-0.2088,0.4737788373098136,False
11,Spearmann,Lowest_Winter_week,Current_Infected_lag_-3,temperature,-0.6791,0.007562257031145479,True
12,Spearmann,Lowest_Winter_week,Current_Infected_lag_-4,temperature,-0.7011,0.005211861769946947,True
13,Spearmann,Lowest_Winter_week,Current_Infected_lag_-5,temperature,-0.4769,0.0846484341946867,False
14,Spearmann,Lowest_Winter_week,Current_Infected_lag_-6,temperature,-0.3802,0.17990614630608143,False
15,Spearmann,Lowest_Winter_week,Current_Infected_lag_-7,temperature,-0.5736,0.03197081397639698,True
