,CorrelationMethod,Season,Covid_Column,Weather_Column,Correlation,Significance_value,Significance
0,Kendall-Tau,Lowest_Winter_week,PCR_Postive_Count,temperature,0.3626,0.07945689917354104,False
1,Kendall-Tau,Lowest_Winter_week,PCR_Postive_Count_lag_-1,temperature,0.0769,0.7471887597172815,False
2,Kendall-Tau,Lowest_Winter_week,PCR_Postive_Count_lag_-2,temperature,-0.1868,0.3879883441211566,False
3,Kendall-Tau,Lowest_Winter_week,PCR_Postive_Count_lag_-3,temperature,-0.5604,0.004565983394728434,True
4,Kendall-Tau,Lowest_Winter_week,PCR_Postive_Count_lag_-4,temperature,-0.3846,0.061658178659046714,False
5,Kendall-Tau,Lowest_Winter_week,PCR_Postive_Count_lag_-5,temperature,-0.2088,0.3308114209974329,False
6,Kendall-Tau,Lowest_Winter_week,PCR_Postive_Count_lag_-6,temperature,-0.2527,0.23311184869840623,False
7,Kendall-Tau,Lowest_Winter_week,PCR_Postive_Count_lag_-7,temperature,-0.4505,0.02639976320159852,True
8,Spearmann,Lowest_Winter_week,PCR_Postive_Count,temperature,0.4945,0.0722496740341326,False
9,Spearmann,Lowest_Winter_week,PCR_Postive_Count_lag_-1,temperature,0.2044,0.4833462230422234,False
10,Spearmann,Lowest_Winter_week,PCR_Postive_Count_lag_-2,temperature,-0.2659,0.3581134003647861,False
11,Spearmann,Lowest_Winter_week,PCR_Postive_Count_lag_-3,temperature,-0.7143,0.00410440916188023,True
12,Spearmann,Lowest_Winter_week,PCR_Postive_Count_lag_-4,temperature,-0.5516,0.04084905835112294,True
13,Spearmann,Lowest_Winter_week,PCR_Postive_Count_lag_-5,temperature,-0.3143,0.27380490296286775,False
14,Spearmann,Lowest_Winter_week,PCR_Postive_Count_lag_-6,temperature,-0.4154,0.1396659475175257,False
15,Spearmann,Lowest_Winter_week,PCR_Postive_Count_lag_-7,temperature,-0.6527,0.01138457399795419,True
