,CorrelationMethod,Season,Covid_Column,Weather_Column,Correlation,Significance_value,Significance
0,Kendall-Tau,Total,PCR_Postive_Count,temperature,-0.047,2.6436961613639582e-12,True
1,Kendall-Tau,Total,PCR_Postive_Count,wind_speed,0.045,2.1953525410366808e-11,True
2,Kendall-Tau,Total,PCR_Postive_Count,relative_humidity,-0.2137,9.521208183840868e-222,True
3,Kendall-Tau,Total,PCR_Positive_Hospitalised,temperature,-0.0311,3.1334757622153356e-05,True
4,Kendall-Tau,Total,PCR_Positive_Hospitalised,wind_speed,0.0156,0.035973019176711085,True
5,Kendall-Tau,Total,PCR_Positive_Hospitalised,relative_humidity,-0.0613,2.0741130366663277e-16,True
6,Kendall-Tau,Total,Deceased,temperature,-0.0729,1.4999100536809726e-19,True
7,Kendall-Tau,Total,Deceased,wind_speed,0.0301,0.0001917698680109097,True
8,Kendall-Tau,Total,Deceased,relative_humidity,0.0015,0.8503016142254929,False
9,Kendall-Tau,Total,Current_Infected,temperature,-0.1209,2.3510897105263243e-73,True
10,Kendall-Tau,Total,Current_Infected,wind_speed,0.0805,1.5685802460869185e-33,True
11,Kendall-Tau,Total,Current_Infected,relative_humidity,-0.2749,0.0,True
12,Kendall-Tau,Total,Total_Confirmed,temperature,0.1174,2.5385828441425926e-69,True
13,Kendall-Tau,Total,Total_Confirmed,wind_speed,-0.002,0.7646595991040325,False
14,Kendall-Tau,Total,Total_Confirmed,relative_humidity,-0.3562,0.0,True
15,Spearmann,Total,PCR_Postive_Count,temperature,-0.0732,2.3464338149469817e-13,True
16,Spearmann,Total,PCR_Postive_Count,wind_speed,0.0665,2.822065851047223e-11,True
17,Spearmann,Total,PCR_Postive_Count,relative_humidity,-0.3274,3.5389204666894254e-248,True
18,Spearmann,Total,PCR_Positive_Hospitalised,temperature,-0.042,2.7183741533459382e-05,True
19,Spearmann,Total,PCR_Positive_Hospitalised,wind_speed,0.0209,0.036737346064181615,True
20,Spearmann,Total,PCR_Positive_Hospitalised,relative_humidity,-0.0831,8.748424036504305e-17,True
21,Spearmann,Total,Deceased,temperature,-0.0903,1.470404425875946e-19,True
22,Spearmann,Total,Deceased,wind_speed,0.0373,0.00019280004145275258,True
23,Spearmann,Total,Deceased,relative_humidity,0.0019,0.8486099647572044,False
24,Spearmann,Total,Current_Infected,temperature,-0.1844,4.354628443476294e-77,True
25,Spearmann,Total,Current_Infected,wind_speed,0.1212,5.286094018717435e-34,True
26,Spearmann,Total,Current_Infected,relative_humidity,-0.4341,0.0,True
27,Spearmann,Total,Total_Confirmed,temperature,0.1759,2.907073446498828e-70,True
28,Spearmann,Total,Total_Confirmed,wind_speed,-0.0018,0.8605013104030352,False
29,Spearmann,Total,Total_Confirmed,relative_humidity,-0.5391,0.0,True
