,PCR_Postive_Count,PCR_Positive_Hospitalised,Deceased,Total_Confirmed,Current_Infected,temperature,wind_speed,relative_humidity,PCR_Postive_Count_lag_-1,PCR_Postive_Count_lag_-2,PCR_Postive_Count_lag_-3,PCR_Postive_Count_lag_-4,PCR_Postive_Count_lag_-5,PCR_Postive_Count_lag_-6,PCR_Postive_Count_lag_-7,Current_Infected_lag_-1,Current_Infected_lag_-2,Current_Infected_lag_-3,Current_Infected_lag_-4,Current_Infected_lag_-5,Current_Infected_lag_-6,Current_Infected_lag_-7
PCR_Postive_Count,1.0,0.6291955914017412,0.40104933820770994,0.5758614847548401,0.6837710550906514,-0.10369378732302725,0.12649158387284654,-0.28184228321947224,0.7371420248693721,0.5686078778182089,0.5196944708281738,0.5136267567347931,0.5647080769495769,0.6995289305512881,0.7991955739098836,0.701154980312374,0.7027863599961537,0.6979945017607785,0.6962639018733127,0.7036190977398009,0.7220663822826424,0.7429364517083636
PCR_Positive_Hospitalised,0.6291955914017412,1.0,0.550917272845534,0.40014325396202693,0.45807020812065186,-0.05098153780941129,0.0708359740747027,-0.16988997478285986,0.47275582191132265,0.3073816900249245,0.2615353667946447,0.24826567627567925,0.30747832783395557,0.4534442565333338,0.5460909153442044,0.46301609478095906,0.454592285251521,0.4429422348950277,0.43097347262628255,0.42784872613644204,0.4345710148906632,0.44386839772027176
Deceased,0.40104933820770994,0.550917272845534,1.0,0.23177927117040117,0.2820081993874855,-0.17020344651873454,0.04629533745309579,0.0029123700848761244,0.30628310634894657,0.17509690908219527,0.11549424929444985,0.0827263241342145,0.10196865850996298,0.23193082261127404,0.3541230953305748,0.2898725111862983,0.28390189756110484,0.27057136570909796,0.2592005956808713,0.25193767664514344,0.25352601341349834,0.26361599285487475
Total_Confirmed,0.5758614847548401,0.40014325396202693,0.23177927117040117,1.0,0.6335612721154891,0.05390933101776476,0.07304895256702487,-0.3542458120771374,0.5735531107937015,0.5713841047464071,0.5694045328484374,0.5670513069134991,0.5648877811352429,0.5622554840011643,0.5595612393048489,0.6313471408291778,0.6291128810766272,0.6268582481348439,0.6245829935503003,0.622398746923249,0.6201572203148159,0.6178197262859839
Current_Infected,0.6837710550906514,0.45807020812065186,0.2820081993874855,0.6335612721154891,1.0,-0.1366185462571005,0.14229892543145556,-0.31039473208147905,0.6565944415703325,0.6398014957060743,0.6310892562257734,0.6277399401335573,0.6271412531359508,0.6230520321310459,0.6073272807192921,0.9650930004003931,0.9409319783942139,0.923441097909183,0.9106308844243459,0.9015812635190573,0.8912965985628788,0.8768475696083058
temperature,-0.10369378732302725,-0.05098153780941129,-0.17020344651873454,0.05390933101776476,-0.1366185462571005,1.0,-0.11635732117659829,-0.3493614096023735,-0.1080338224812155,-0.12070102350513023,-0.1404119703878965,-0.1451967208346716,-0.1457865160663671,-0.14384763517397292,-0.14193877444813596,-0.14130236959924292,-0.14737709420488876,-0.15770470664087685,-0.16643190748016903,-0.17397628104721416,-0.18069079379373748,-0.1869372345445965
wind_speed,0.12649158387284654,0.0708359740747027,0.04629533745309579,0.07304895256702487,0.14229892543145556,-0.11635732117659829,1.0,-0.008936647490864359,0.09642041409991549,0.09597846520867662,0.1288783273669251,0.1505352444655136,0.14839750650378447,0.13097527961313998,0.12679712811834015,0.14494230699231975,0.1410784582990021,0.14020447637468916,0.14597079101490104,0.14839263071529799,0.14707041143693364,0.14752241623407267
relative_humidity,-0.28184228321947224,-0.16988997478285986,0.0029123700848761244,-0.3542458120771374,-0.31039473208147905,-0.3493614096023735,-0.008936647490864359,1.0,-0.2807787214444396,-0.27896202261472447,-0.277120646451168,-0.2735437264594981,-0.2601105973618552,-0.24149739951591856,-0.24343689248926115,-0.30859389218505445,-0.3053556715188135,-0.30293819655521786,-0.3008006523834235,-0.2985753710748117,-0.2916080373726572,-0.28875884851344974
PCR_Postive_Count_lag_-1,0.7371420248693721,0.47275582191132265,0.30628310634894657,0.5735531107937015,0.6565944415703325,-0.1080338224812155,0.09642041409991549,-0.2807787214444396,1.0,0.7359262956725234,0.5667216422895417,0.5172976381177519,0.5113971274905728,0.5623369556007899,0.6979436147551734,0.6821148154740672,0.699599867744764,0.7012372172161131,0.6964121969457279,0.694778865218565,0.7021382508381475,0.7206200378349383
PCR_Postive_Count_lag_-2,0.5686078778182089,0.3073816900249245,0.17509690908219527,0.5713841047464071,0.6398014957060743,-0.12070102350513023,0.09597846520867662,-0.27896202261472447,0.7359262956725234,1.0,0.7347743564228723,0.5646245261048878,0.515178929523157,0.5088629688589106,0.5600717556780812,0.6549280387822747,0.6806028733982955,0.6981907384659938,0.6998350330026126,0.6950148366244251,0.6933310914753932,0.7007325555225838
